Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m04
1207.344052427932	2	2	2	1
1217.5840867984175	4	4	3	3
1227.8041211017733	2	2	2	1
1228.0441219073311	2	2	1	1
1238.2141560428622	2	2	2	1
1248.434190346218	3	2	2	2
1258.5242242132297	3	2	2	2
1268.7342584830205	4	3	3	3
1278.9442927528112	3	3	3	2
1279.1742935248044	3	3	3	2
1289.3643277274653	3	3	3	2
1299.594362064386	3	2	2	2
1309.7943963006117	3	3	3	2
1320.0344306710972	3	2	2	2
1330.2344649073232	2	2	2	1
1330.4644656793162	2	2	2	1
1340.6644999155421	2	2	2	2
1350.9145343195926	3	3	3	2
1361.1245685893832	3	3	3	2
1371.324602825609	3	2	2	2
1381.4646368604454	3	3	2	2
1381.7046376660035	2	2	2	2
1391.9546720700537	3	3	3	3
1402.1847064069743	3	3	3	2
1412.414740743895	3	2	2	2
1422.604774946556	3	3	2	2
1432.7748090820871	2	2	2	1
1433.014809887645	1	1	1	1
1443.1948440567412	2	2	2	1
1453.394878292967	3	3	3	3
1463.6249126298876	2	2	2	2
1473.8049467989836	2	2	2	2
1484.0249811023393	3	3	3	3
1484.2649819078972	3	3	2	2
1494.3950159091687	2	2	2	1
1504.6250502460894	3	2	2	2
1514.825084482315	3	3	3	3
1525.0551188192358	2	2	2	1
1535.2351529883317	3	2	2	2
1535.4751537938896	2	2	2	1
1545.6551879629858	3	3	2	2
1555.8952223334713	3	3	3	2
1566.115256636827	3	3	3	3
1576.2752907387933	4	4	4	4
1586.485325008584	2	2	2	1
1586.725325814142	1	1	1	1
1596.9153600168029	3	3	2	2
1607.1153942530289	3	3	3	2
1617.28542838856	3	3	2	2
1627.5254627590452	4	3	3	3
1637.735497028836	4	3	3	3
1637.9754978343942	3	3	2	2
1648.1855321041849	2	1	1	1
1658.4155664411055	3	3	3	2
1668.6156006773313	3	3	3	3
1678.8056348799923	3	3	3	2
1688.985669049088	3	2	2	2
1689.2256698546462	2	2	2	1
1699.3657038894826	3	3	2	2
1709.5357380250136	2	2	2	1
1719.7657723619345	2	2	2	2
1729.9058063967707	3	2	2	2
1740.1458407672562	4	4	3	3
1740.3858415728141	3	3	3	2
1750.56587574191	3	3	3	2
1760.7659099781358	4	4	4	3
1770.945944147232	3	2	2	2
1781.115978282763	3	2	2	2
1791.2760123847295	2	2	2	2
1791.5160131902874	2	2	2	1
1801.6560472251238	3	2	2	2
1811.896081595609	4	4	4	3
1822.0361156304455	4	3	3	3
1832.2161497995414	3	3	3	3
1842.4161840357672	4	4	3	3
1842.6561848413255	3	3	3	3
1852.8862191782462	3	3	2	2
1863.0562533137772	2	2	2	2
1873.2862876506977	3	2	2	2
1883.4763218533585	3	3	3	2
1893.6463559888898	2	2	2	2
1893.886356794448	2	2	1	1
1904.0763909971085	3	2	2	2
1914.2664251997696	3	3	3	2
1924.4764594695603	4	3	3	3
1934.696493772916	3	3	3	2
1944.9165280762718	1	1	1	1
1945.146528848265	1	1	1	1
1955.296562916666	2	2	1	1
1965.476597085762	2	2	2	2
1975.686631355553	3	3	3	3
1985.8866655917786	3	3	3	3
1996.1166999286993	3	3	2	2
1996.3467007006925	3	3	2	2
2006.566735004048	3	3	2	2
2016.7167690724493	3	3	2	2
2026.8968032415453	3	3	2	2
2037.0368372763817	3	3	3	2
2047.2268714790428	3	3	3	2
2047.456872251038	3	3	3	2
2057.6069063194423	2	2	2	2
2067.8169405892377	3	2	2	2
2078.0269748590335	4	4	3	3
2088.247009162394	2	2	2	2
2098.417043297929	3	2	2	2
2098.6470440699272	3	2	2	2
2108.8770784068533	3	3	3	2
2119.027112475258	3	2	2	2
2129.2371467450535	4	3	3	3
2139.4271809477186	3	3	3	2
2149.567214982558	4	3	3	3
2149.8072157881215	3	3	3	2
2159.9472498229616	3	3	2	2
2170.107283924931	3	2	2	2
2180.337318261857	3	3	2	2
2190.5373524980873	3	3	3	3
2200.7273867007525	3	3	2	2
2200.9673875063163	2	2	2	1
2211.1574217089815	3	3	3	2
2221.367455978777	3	3	2	2
2231.557490181442	2	2	2	2
2241.787524518368	2	2	2	2
2251.9975587881636	4	4	3	3
2252.237559593727	3	3	3	2
2262.417593762827	2	2	2	2
2272.577627864797	2	2	1	1
2282.767662067462	3	2	2	2
2292.977696337258	4	3	3	3
2303.2077306741835	4	3	3	3
2303.447731479747	3	3	2	2
2313.6477657159776	3	3	3	3
2323.857799985773	3	3	3	3
2334.0778342891335	3	3	3	2
2344.2478684246685	2	2	2	1
2354.4179025602034	2	2	2	1
2354.657903365767	2	2	1	1
2364.8479375684324	3	3	3	2
2375.067971871793	3	3	3	3
2385.2280059737627	3	3	2	2
2395.438040243558	2	2	2	2
2405.5480741777023	3	2	2	2
2405.7880749832657	2	2	2	2
2416.0281093537565	3	3	2	2
2426.2081435228565	3	2	2	2
2436.3781776583915	3	2	2	2
2446.5382117603617	3	3	2	2
2456.748246030157	3	2	2	2
2456.9882468357205	2	2	2	2
2467.1382809041256	2	2	2	1
2477.298315006095	2	2	1	1
2487.4883492087606	3	3	3	2
2497.708383512121	3	2	2	2
2507.938417849047	3	3	3	3
2508.1684186210455	3	3	3	3
2518.388452924406	3	3	3	2
