Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m04
910.5630562880209	3	3	2	2
920.7630905242468	3	3	3	3
921.0030913298048	3	2	2	2
931.2031255660307	3	3	3	2
941.3531596344319	3	3	3	3
951.5331938035279	3	3	2	2
961.7532281068835	3	3	2	2
971.9332622759796	3	2	2	2
972.1732630815376	2	2	2	2
982.3532972506335	3	2	2	2
992.6033316546841	3	3	3	2
1002.8533660587344	4	4	3	3
1013.0534002949603	3	3	3	2
1023.2534345311861	4	4	3	3
1023.4934353367443	3	3	3	2
1033.6234693380159	2	2	2	2
1043.7835034399818	2	2	2	1
1053.9535375755129	3	2	2	2
1064.133571744609	3	3	2	2
1074.3536060479646	3	3	3	3
1074.5936068535227	3	2	2	2
1084.7936410897487	3	3	2	2
1095.043675493799	3	3	3	2
1105.1737094950704	3	2	2	2
1115.3937437984262	2	2	2	1
1125.6437782024764	3	3	3	2
1125.8837790080347	2	2	2	2
1136.1138133449551	3	3	2	2
1146.333847648311	2	2	2	1
1156.493881750277	3	3	3	3
1166.6539158522432	4	4	3	3
1176.7839498535145	4	3	3	3
1177.0239506590726	3	3	2	2
1187.1639846939088	3	3	2	2
1197.3840189972645	2	2	2	1
1207.5740531999254	3	3	3	3
1217.7840874697163	3	2	2	2
1227.9641216388125	3	2	2	2
1228.1941224108054	3	2	2	2
1238.4141567141612	3	3	3	3
1248.5941908832572	4	4	3	3
1258.7242248845287	3	3	3	2
1268.954259221449	3	3	2	2
1279.1842935583697	3	3	3	2
1279.4242943639276	3	2	2	2
1289.6343286337185	3	2	2	2
1299.8643629706391	2	2	2	2
1310.044397139735	2	2	2	2
1320.2844315102207	3	2	2	2
1330.434465578622	2	2	2	2
1330.67446638418	2	2	2	1
1340.8245004525813	2	2	2	2
1351.0145346552422	3	2	2	2
1361.1745687572084	3	3	3	3
1371.3446028927394	3	3	2	2
1381.5346370954003	3	3	3	3
1381.7646378673933	3	3	3	3
1391.9546720700544	3	3	2	2
1402.1247062055854	3	3	3	2
1412.354740542506	2	2	2	1
1422.5747748458618	2	2	2	1
1432.7748090820876	3	2	2	2
1433.0148098876457	2	2	1	1
1443.2048440903066	3	2	2	2
1453.3848782594025	3	2	2	2
1463.6149125963232	3	3	2	2
1473.7749466982893	2	2	2	2
1483.9649809009502	3	3	3	2
1484.1949816729432	3	3	3	2
1494.415015976299	3	2	2	2
1504.595050145395	3	3	2	2
1514.765084280926	3	3	3	3
1524.975118550717	3	3	2	2
1535.1251526191181	3	3	2	2
1535.365153424676	3	2	2	2
1545.555187627337	3	3	3	3
1555.7752219306929	2	2	2	2
1565.8852558648346	3	3	2	2
1576.0252898996707	3	3	3	3
1586.2353241694614	3	3	3	2
1586.4753249750195	3	3	2	2
1596.6353590769857	3	3	3	2
1606.8253932796465	3	2	2	2
1617.0354275494374	3	2	2	2
1627.2154617185333	3	2	2	2
1637.4054959211942	3	3	3	3
1637.6454967267523	3	2	2	2
1647.8855310972376	3	3	2	2
1658.1155654341585	3	3	2	2
1668.2255993683002	3	3	3	3
1678.405633537396	3	3	3	2
1688.595667740057	2	2	2	2
1688.835668545615	2	2	2	1
1699.0057026811462	2	2	2	2
1709.1757368166773	2	1	1	1
1719.3157708515134	2	2	2	1
