Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m04
2875.686470294558	3	2	2	2
2890.064902646031	2	2	2	2
2904.443334997504	2	2	2	1
2918.8217673489767	3	2	2	2
2933.2001997004495	3	2	2	2
2947.578632051922	2	2	2	2
2961.9570644033947	4	3	3	3
2976.3354967548676	3	2	2	2
2990.7139291063404	3	3	3	3
3005.0923614578132	3	3	2	2
3019.470793809286	3	2	2	2
3033.8492261607585	4	4	3	3
3048.2276585122313	4	3	3	3
3062.6060908637046	3	3	2	2
3076.9845232151774	3	3	3	3
3091.3629555666503	3	2	2	2
3105.741387918123	2	2	1	1
3120.1198202695955	4	3	3	3
3134.4982526210683	3	3	2	2
3148.876684972541	2	2	2	2
3163.255117324014	3	3	2	2
3177.633549675487	2	2	1	1
3192.0119820269597	2	2	1	1
3206.390414378432	2	2	1	1
3220.768846729905	2	2	2	1
3235.1472790813777	2	2	2	2
3249.5257114328506	2	2	2	1
3263.904143784324	3	3	3	2
3278.2825761357967	3	2	2	2
3292.6610084872686	4	3	3	3
3307.039440838742	3	3	3	2
3321.417873190215	2	2	2	2
3335.7963055416876	2	1	1	1
3350.1747378931605	2	2	2	2
3364.5531702446333	2	1	1	1
3378.9316025961057	2	2	2	2
3393.3100349475785	2	2	2	2
3407.6884672990514	3	2	2	2
3422.066899650524	3	3	2	2
3436.445332001997	3	3	3	2
3450.82376435347	3	3	2	2
3465.2021967049423	3	2	2	2
3479.580629056415	3	3	3	2
3493.959061407888	3	2	2	2
3508.337493759361	3	3	2	2
3522.715926110834	3	3	2	2
3537.094358462307	2	2	2	2
3551.4727908137793	3	2	2	2
3565.851223165252	3	3	3	3
3580.229655516725	3	3	3	3
3594.608087868198	2	2	2	1
3608.9865202196706	2	2	2	2
3623.3649525711435	2	1	1	1
3637.743384922616	3	3	3	3
3652.1218172740887	3	3	3	2
3666.5002496255615	3	2	2	2
3680.8786819770344	2	2	2	2
3695.257114328507	3	2	2	2
3709.6355466799805	2	2	2	1
3724.0139790314524	2	2	1	1
3738.3924113829253	2	2	1	1
3752.7708437343986	3	2	2	2
3767.1492760858714	3	3	3	2
3781.5277084373442	3	3	3	3
3795.906140788817	3	2	2	2
3810.2845731402895	3	3	3	2
3824.6630054917623	3	3	3	3
3839.041437843235	4	4	4	3
3853.419870194708	3	3	3	2
3867.798302546181	2	2	2	2
3882.1767348976537	2	2	2	1
3896.555167249126	3	3	3	2
3910.933599600599	2	2	2	1
3925.3120319520717	3	3	3	3
3939.6904643035446	3	2	2	2
3954.068896655018	3	3	2	2
3968.4473290064907	3	2	2	2
3982.8257613579626	3	3	3	2
3997.204193709436	3	3	2	2
4011.5826260609088	3	2	2	2
4025.9610584123816	2	1	1	1
4040.3394907638544	3	3	2	2
4054.7179231153273	2	2	2	1
4069.0963554667997	2	2	2	1
4083.4747878182725	3	2	2	2
4097.853220169745	3	2	2	2
4112.231652521218	4	4	3	3
4126.610084872691	4	3	3	3
4140.988517224164	3	3	3	3
4155.366949575637	3	3	3	2
4169.7453819271095	3	3	2	2
4184.123814278582	2	2	1	1
4198.502246630055	3	3	2	2
4212.880678981528	3	3	3	2
4227.259111333	2	2	2	2
4241.637543684473	3	3	3	2
4256.015976035946	2	2	1	1
4270.3944083874185	4	3	3	3
4284.772840738892	2	2	1	1
4299.151273090365	3	3	3	2
4313.529705441837	3	2	2	2
4327.90813779331	3	3	2	2
4342.286570144783	3	3	3	2
4356.6650024962555	3	2	2	2
4371.043434847728	4	4	3	3
4385.421867199201	4	3	3	3
4399.800299550674	4	3	3	3
4414.178731902147	3	3	2	2
4428.55716425362	3	2	2	2
4442.9355966050925	3	3	2	2
4457.314028956565	3	3	2	2
4471.692461308038	4	3	3	3
4486.07089365951	3	3	2	2
4500.449326010983	3	2	2	2
4514.827758362456	2	2	1	1
4529.20619071393	3	2	2	2
4543.584623065402	2	2	2	2
4557.963055416875	2	2	2	2
4572.341487768347	2	2	1	1
4586.71992011982	2	2	2	2
4601.098352471293	3	3	3	2
4615.476784822766	3	3	3	2
4629.8552171742385	2	2	2	2
4644.233649525711	3	3	3	2
4658.612081877184	3	3	2	2
4672.990514228657	2	2	2	1
4687.36894658013	3	3	3	2
4701.747378931603	3	3	2	2
4716.125811283076	3	2	2	2
4730.504243634548	2	2	2	1
4744.88267598602	2	2	1	1
4759.261108337493	2	2	2	2
4773.639540688967	3	3	2	2
4788.01797304044	4	4	3	3
4802.396405391913	3	3	2	2
4816.774837743385	3	3	2	2
4831.153270094857	3	2	2	2
4845.53170244633	3	3	3	2
4859.910134797803	4	3	3	3
4874.288567149276	3	2	2	2
4888.666999500749	3	3	2	2
4903.045431852222	3	2	2	2
4917.423864203694	2	2	2	2
4931.802296555167	3	3	3	2
4946.18072890664	3	2	2	2
4960.559161258113	3	2	2	2
4974.937593609586	2	2	2	1
4989.316025961059	3	3	2	2
5003.6944583125305	3	2	2	2
5018.072890664004	3	2	2	2
5032.451323015477	2	2	2	2
5046.82975536695	2	1	1	1
5061.208187718423	1	1	1	1
5075.586620069896	2	1	1	1
5089.965052421368	2	1	1	1
5104.34348477284	3	3	2	2
5118.721917124313	3	3	3	2
