Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m04
3483.237344649894	2	2	1	1
3496.33222188542	3	3	3	3
3509.427099120946	3	3	3	2
3522.521976356472	3	3	2	2
3535.6168535919974	2	2	2	2
3548.7117308275233	2	2	2	1
3561.806608063049	3	2	2	2
3574.901485298575	2	2	2	1
3587.996362534101	2	2	2	2
3601.091239769627	3	2	2	2
3614.1861170051534	2	2	2	1
3627.2809942406793	2	1	1	1
3640.3758714762052	3	3	2	2
3653.470748711731	3	3	3	2
3666.5656259472566	3	2	2	2
3679.6605031827826	2	2	2	2
3692.7553804183085	2	1	1	1
3705.8502576538344	3	3	3	2
3718.9451348893604	3	2	2	2
3732.0400121248863	3	3	3	2
3745.134889360412	3	3	2	2
3758.229766595938	3	3	2	2
3771.3246438314636	2	2	2	2
3784.4195210669905	3	3	2	2
3797.5143983025164	2	2	2	2
3810.609275538042	3	3	2	2
3823.704152773568	3	3	3	3
3836.7990300090937	4	4	4	3
3849.8939072446196	3	3	3	3
3862.9887844801456	3	3	3	3
3876.0836617156715	2	2	2	1
3889.1785389511974	3	3	2	2
3902.273416186723	3	2	2	2
3915.368293422249	2	2	2	2
3928.4631706577748	2	1	1	1
3941.5580478933007	2	2	2	2
3954.652925128827	2	2	2	2
3967.747802364353	3	3	3	3
3980.842679599879	3	2	2	2
3993.937556835405	4	3	3	3
4007.032434070931	3	3	3	2
4020.1273113064567	3	3	2	2
4033.2221885419826	3	3	2	2
4046.317065777508	3	2	2	2
4059.411943013034	2	2	2	2
4072.50682024856	2	2	2	2
4085.601697484086	2	1	1	1
4098.696574719612	4	3	3	3
4111.791451955138	3	3	3	3
4124.886329190664	3	2	2	2
4137.98120642619	2	2	2	1
4151.0760836617155	3	2	2	2
4164.1709608972415	2	2	2	1
4177.265838132767	3	3	2	2
4190.360715368293	3	3	2	2
4203.455592603819	2	2	2	1
4216.550469839345	2	2	2	1
4229.645347074871	3	3	3	2
4242.740224310397	3	3	2	2
4255.835101545923	3	3	3	2
4268.929978781449	3	2	2	2
4282.024856016975	3	3	2	2
4295.119733252501	2	2	2	1
4308.214610488027	2	2	2	1
4321.309487723553	1	1	1	1
4334.4043649590785	3	3	3	2
4347.499242194604	4	4	3	3
4360.59411943013	3	2	2	2
4373.688996665656	3	2	2	2
4386.783873901182	3	3	2	2
4399.878751136708	2	2	2	1
4412.973628372234	4	3	3	3
4426.06850560776	3	3	3	2
4439.163382843286	3	3	3	3
4452.258260078812	3	3	2	2
4465.353137314338	2	2	2	2
4478.448014549864	2	2	2	2
4491.54289178539	3	2	2	2
4504.637769020916	2	2	2	1
4517.7326462564415	2	2	2	1
4530.827523491967	2	2	2	1
4543.922400727493	2	2	2	1
4557.017277963019	2	1	1	1
4570.112155198545	4	3	3	3
4583.207032434071	3	2	2	2
4596.301909669597	3	3	3	3
4609.396786905122	3	3	2	2
4622.491664140648	2	2	2	2
4635.586541376175	2	2	2	1
4648.681418611701	3	3	3	3
4661.776295847227	3	3	3	3
4674.871173082753	4	4	4	3
4687.966050318279	3	3	2	2
4701.0609275538045	3	3	2	2
4714.15580478933	2	2	2	1
4727.250682024856	3	2	2	2
4740.345559260381	3	3	3	3
4753.440436495907	3	3	3	2
4766.535313731433	3	2	2	2
4779.630190966959	3	2	2	2
4792.725068202486	3	2	2	2
4805.819945438012	4	4	3	3
4818.914822673538	4	4	3	3
4832.009699909064	4	4	3	3
4845.10457714459	3	2	2	2
4858.199454380116	3	3	2	2
4871.294331615642	2	2	2	1
4884.389208851167	3	3	2	2
4897.4840860866925	3	3	3	3
4910.578963322218	3	3	3	3
4923.673840557744	3	2	2	2
4936.76871779327	3	2	2	2
