Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m04
2811.9218910585814	3	3	2	2
2826.72147995889	3	3	3	3
2841.5210688591983	3	3	3	2
2856.3206577595065	2	1	1	1
2871.1202466598147	3	3	2	2
2885.9198355601234	3	3	3	2
2900.7194244604316	3	3	2	2
2915.51901336074	2	2	1	1
2930.3186022610485	1	1	1	1
2945.1181911613567	2	2	2	2
2959.917780061665	3	3	3	2
2974.7173689619735	2	2	2	2
2989.5169578622817	3	2	2	2
3004.31654676259	3	3	3	2
3019.116135662898	3	2	2	2
3033.915724563207	3	2	2	2
3048.715313463515	4	3	3	3
3063.5149023638232	4	3	3	3
3078.314491264132	3	3	3	2
3093.11408016444	2	2	1	1
3107.913669064748	2	2	1	1
3122.713257965057	2	2	2	1
3137.5128468653647	3	3	2	2
3152.312435765673	2	2	2	2
3167.112024665981	3	3	3	2
3181.91161356629	3	3	3	3
3196.711202466598	3	3	2	2
3211.5107913669062	3	3	3	3
3226.310380267215	2	2	2	2
3241.109969167523	3	2	2	2
3255.9095580678313	1	1	1	1
3270.7091469681395	3	3	2	2
3285.508735868448	2	2	2	2
3300.3083247687564	2	2	1	1
3315.1079136690646	2	2	1	1
3329.9075025693733	2	2	2	2
3344.7070914696815	3	3	3	3
3359.5066803699897	3	3	3	2
3374.3062692702983	2	2	2	2
3389.1058581706066	3	2	2	2
3403.9054470709148	3	3	3	3
3418.705035971223	2	2	2	2
3433.5046248715316	2	1	1	1
3448.30421377184	2	2	2	1
3463.1038026721476	2	2	2	1
3477.9033915724567	3	2	2	2
3492.7029804727645	3	3	2	2
3507.5025693730727	4	3	3	3
3522.302158273382	4	3	3	3
3537.1017471736895	3	3	2	2
3551.9013360739978	3	3	2	2
3566.700924974306	4	3	3	3
3581.5005138746146	3	2	2	2
3596.300102774923	4	3	3	3
3611.099691675231	3	3	2	2
3625.8992805755397	4	3	3	3
3640.698869475848	3	3	2	2
3655.498458376156	2	2	2	2
3670.2980472764643	2	2	2	2
3685.097636176773	3	2	2	2
3699.897225077081	3	3	3	3
3714.6968139773894	3	3	3	3
3729.496402877698	3	2	2	2
3744.2959917780063	3	2	2	2
3759.0955806783145	3	3	2	2
3773.895169578623	3	2	2	2
3788.6947584789314	2	2	2	2
3803.4943473792396	2	2	2	2
3818.2939362795473	2	2	1	1
3833.0935251798564	3	2	2	2
3847.893114080164	2	2	2	2
3862.6927029804724	4	4	4	3
3877.4922918807815	4	3	3	3
3892.2918807810893	3	3	3	2
3907.0914696813975	3	3	3	2
3921.891058581706	4	3	3	3
3936.6906474820144	2	2	2	1
3951.4902363823226	3	2	2	2
3966.2898252826308	3	2	2	2
3981.0894141829394	3	3	3	3
3995.8890030832476	3	3	3	3
4010.688591983556	3	3	2	2
4025.4881808838645	3	3	2	2
