Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m02	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m03	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m04
1618.0918727915196	3	3	2	2
1628.268551236749	3	3	2	2
1638.4452296819788	3	3	2	2
1648.6219081272086	2	2	2	2
1658.7985865724381	3	3	2	2
1668.9752650176679	3	3	2	2
1679.1519434628974	3	3	2	2
1689.3286219081274	3	3	2	2
1699.5053003533567	3	3	2	2
1709.6819787985867	2	2	2	2
1719.8586572438162	3	3	2	2
1730.035335689046	3	3	2	2
1740.2120141342757	3	3	2	2
1750.3886925795052	3	3	2	2
1760.565371024735	3	3	2	2
1770.7420494699645	2	2	2	2
1780.9187279151945	3	3	2	2
1791.095406360424	3	3	2	2
1801.2720848056538	3	3	2	2
1811.4487632508833	3	3	2	2
1821.625441696113	3	3	2	2
1831.8021201413428	2	2	2	2
1841.9787985865723	3	3	2	2
1852.1554770318023	3	3	2	2
1862.3321554770316	3	3	2	2
1872.5088339222616	3	3	2	2
1882.6855123674911	3	3	2	2
1892.8621908127209	2	2	2	2
1903.0388692579504	3	3	2	2
1913.2155477031802	3	3	2	2
1923.39222614841	3	3	2	2
1933.5689045936394	3	3	2	2
1943.7455830388694	3	3	2	2
1953.922261484099	2	2	2	2
1964.0989399293287	3	3	2	2
1974.2756183745582	3	3	2	2
1984.452296819788	3	3	2	2
1994.6289752650177	3	3	2	2
2004.8056537102473	3	3	2	2
2014.9823321554773	2	2	2	2
2025.1590106007066	3	3	2	2
2035.3356890459365	3	3	2	2
2045.512367491166	3	3	2	2
2055.689045936396	3	3	2	2
2065.865724381625	3	3	2	2
2076.0424028268553	2	2	2	2
2086.219081272085	3	3	2	2
2096.3957597173144	3	3	2	2
2106.572438162544	3	3	2	2
2116.749116607774	3	3	2	2
2126.9257950530036	3	3	2	2
2137.102473498233	2	2	2	2
2147.279151943463	3	3	2	2
2157.4558303886924	3	3	2	2
2167.632508833922	3	3	2	2
2177.809187279152	3	3	2	2
2187.9858657243817	3	3	2	2
2198.1625441696115	2	2	2	2
2208.3392226148408	3	3	2	2
2218.5159010600705	3	3	2	2
2228.6925795053003	3	3	2	2
2238.86925795053	3	3	2	2
2249.04593639576	3	3	2	2
2259.2226148409895	2	2	2	2
2269.3992932862193	3	3	2	2
2279.5759717314486	3	3	2	2
2289.7526501766783	3	3	2	2
2299.929328621908	3	3	2	2
2310.106007067138	3	3	2	2
2320.282685512367	2	2	2	2
2330.4593639575974	3	3	2	2
2340.636042402827	3	3	2	2
2350.8127208480564	3	3	2	2
2360.989399293286	3	3	2	2
2371.166077738516	3	3	2	2
2381.3427561837457	2	2	2	2
2391.519434628975	3	3	2	2
2401.696113074205	3	3	2	2
2411.8727915194345	3	3	2	2
2422.0494699646642	3	3	2	2
2432.226148409894	3	3	2	2
2442.4028268551237	2	2	2	2
2452.5795053003535	3	3	2	2
2462.756183745583	3	3	2	2
2472.932862190813	3	3	2	2
2483.1095406360423	3	3	2	2
2493.286219081272	3	3	2	2
2503.462897526502	2	2	2	2
2513.6395759717316	3	3	2	2
2523.8162544169613	3	3	2	2
2533.9929328621906	3	3	2	2
2544.1696113074204	3	3	2	2
2554.34628975265	3	3	2	2
2564.52296819788	2	2	2	2
2574.6996466431096	3	3	2	2
2584.8763250883394	3	3	2	2
2595.0530035335687	3	3	2	2
2605.2296819787985	3	3	2	2
2615.406360424028	3	3	2	2
2625.583038869258	2	2	2	2
2635.7597173144877	3	3	2	2
2645.936395759717	3	3	2	2
2656.113074204947	3	3	2	2
2666.2897526501765	3	3	2	2
2676.4664310954063	3	3	2	2
2686.643109540636	2	2	2	2
2696.819787985866	3	3	2	2
2706.996466431095	3	3	2	2
2717.1731448763253	3	3	2	2
2727.349823321555	3	3	2	2
2737.5265017667843	3	3	2	2
2747.7031802120136	2	2	2	2
2757.879858657244	3	3	2	2
2768.0565371024736	3	3	2	2
2778.233215547703	3	3	2	2
2788.409893992933	3	3	2	2
2798.5865724381624	3	3	2	2
2808.763250883392	2	2	2	2
2818.9399293286215	3	3	2	2
2829.1166077738517	3	3	2	2
2839.2932862190814	3	3	2	2
2849.4699646643107	3	3	2	2
2859.646643109541	3	3	2	2
2869.8233215547702	2	2	2	2
2880.0	3	3	2	2
2890.1766784452293	3	3	2	2
2900.3533568904595	3	3	2	2
2910.5300353356893	3	3	2	2
2920.7067137809186	3	3	2	2
2930.8833922261483	2	2	2	2
2941.060070671378	3	3	2	2
2951.236749116608	3	3	2	2
2961.413427561837	3	3	2	2
2971.5901060070673	3	3	2	2
2981.766784452297	3	3	2	2
2991.9434628975264	2	2	2	2
3002.120141342756	3	3	2	2
3012.296819787986	3	3	2	2
3022.4734982332157	3	3	2	2
3032.650176678445	3	3	2	2
3042.826855123675	3	3	2	2
3053.003533568905	2	2	2	2
3063.180212014134	3	3	2	2
3073.3568904593635	3	3	2	2
3083.5335689045937	3	3	2	2
3093.7102473498235	3	3	2	2
3103.886925795053	3	3	2	2
3114.0636042402825	2	2	2	2
3124.2402826855123	3	3	2	2
3134.416961130742	3	3	2	2
3144.5936395759713	3	3	2	2
3154.7703180212015	3	3	2	2
3164.9469964664313	3	3	2	2
3175.1236749116606	2	2	2	2
3185.3003533568904	3	3	2	2
3195.47703180212	3	3	2	2
3205.65371024735	3	3	2	2
3215.830388692579	3	3	2	2
3226.0070671378094	3	3	2	2
3236.183745583039	2	2	2	2
3246.3604240282684	3	3	2	2
3256.537102473498	3	3	2	2
3266.713780918728	3	3	2	2
3276.8904593639577	3	3	2	2
3287.067137809187	3	3	2	2
3297.243816254417	2	2	2	2
3307.420494699647	3	3	2	2
3317.5971731448763	3	3	2	2
3327.773851590106	3	3	2	2
3337.9505300353358	3	3	2	2
3348.1272084805655	3	3	2	2
3358.303886925795	2	2	2	2
3368.4805653710246	3	3	2	2
3378.657243816255	3	3	2	2
3388.833922261484	3	3	2	2
3399.0106007067134	3	3	2	2
3409.1872791519436	3	3	2	2
3419.3639575971733	2	2	2	2
3429.5406360424026	3	3	2	2
3439.7173144876324	3	3	2	2
