Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 696202e2847a5525daa3b0d2 - minikube	Unknown Heuristic - Run None (Profile ?) 696202e2847a5525daa3b0d2 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 696202e2847a5525daa3b0d2 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 696202e2847a5525daa3b0d2 - minikube-m04
1643.1572405220634	4	4	4	4
1653.896830329397	4	4	4	4
1664.636420136731	4	4	4	4
1675.3760099440647	4	3	3	3
1686.1155997513986	4	4	4	4
1696.8551895587323	4	4	4	4
1707.594779366066	4	4	4	4
1718.3343691733994	4	4	4	4
1729.0739589807333	4	4	4	4
1739.813548788067	4	3	3	3
1750.553138595401	4	4	4	4
1761.2927284027346	4	4	4	4
1772.0323182100685	4	4	4	4
1782.7719080174022	4	4	4	4
1793.511497824736	4	4	4	4
1804.2510876320696	4	3	3	3
1814.9906774394033	4	4	4	4
1825.730267246737	4	4	4	4
1836.4698570540709	4	4	4	4
1847.2094468614046	4	4	4	4
1857.9490366687385	4	4	4	4
1868.6886264760722	4	3	3	3
1879.4282162834058	4	4	4	4
1890.1678060907398	4	4	4	4
1900.9073958980732	4	4	4	4
1911.646985705407	4	4	4	4
1922.3865755127408	4	4	4	4
1933.1261653200745	4	3	3	3
1943.8657551274084	4	4	4	4
1954.605344934742	4	4	4	4
1965.344934742076	4	4	4	4
1976.0845245494097	4	4	4	4
1986.8241143567432	4	4	4	4
1997.5637041640769	4	3	3	3
2008.3032939714108	4	4	4	4
2019.0428837787445	4	4	4	4
2029.7824735860784	4	4	4	4
2040.522063393412	4	4	4	4
2051.261653200746	4	4	4	4
2062.0012430080797	4	3	3	3
2072.7408328154133	4	4	4	4
2083.480422622747	4	4	4	4
2094.2200124300807	4	4	4	4
2104.9596022374144	4	4	4	4
2115.699192044748	4	4	4	4
2126.4387818520822	4	3	3	3
2137.178371659416	4	4	4	4
2147.9179614667496	4	4	4	4
2158.6575512740833	4	4	4	4
2169.397141081417	4	4	4	4
2180.1367308887507	4	4	4	4
2190.8763206960843	4	3	3	3
2201.615910503418	4	4	4	4
2212.355500310752	4	4	4	4
2223.095090118086	4	4	4	4
2233.8346799254196	4	4	4	4
2244.5742697327532	4	4	4	4
2255.313859540087	4	3	3	3
2266.0534493474206	4	4	4	4
2276.7930391547543	4	4	4	4
2287.532628962088	4	4	4	4
2298.272218769422	4	4	4	4
2309.011808576756	4	4	4	4
2319.7513983840895	4	3	3	3
2330.490988191423	4	4	4	4
2341.2305779987573	4	4	4	4
2351.970167806091	4	4	4	4
2362.7097576134242	4	4	4	4
2373.449347420758	4	4	4	4
2384.188937228092	4	3	3	3
2394.9285270354258	4	4	4	4
2405.6681168427594	4	4	4	4
2416.407706650093	4	4	4	4
2427.1472964574273	4	4	4	4
2437.886886264761	4	4	4	4
2448.626476072094	4	3	3	3
2459.3660658794283	4	4	4	4
2470.105655686762	4	4	4	4
2480.8452454940957	4	4	4	4
2491.5848353014294	4	4	4	4
2502.324425108763	4	4	4	4
2513.064014916097	4	3	3	3
2523.803604723431	4	4	4	4
2534.5431945307646	4	4	4	4
2545.2827843380983	4	4	4	4
2556.022374145432	4	4	4	4
2566.7619639527657	4	4	4	4
2577.5015537600993	4	3	3	3
2588.241143567433	4	4	4	4
2598.980733374767	4	4	4	4
2609.720323182101	4	4	4	4
2620.4599129894345	4	4	4	4
2631.1995027967682	4	4	4	4
2641.939092604102	4	3	3	3
2652.6786824114356	4	4	4	4
2663.4182722187693	4	4	4	4
2674.157862026103	4	4	4	4
2684.897451833437	4	4	4	4
2695.637041640771	4	4	4	4
2706.376631448104	4	3	3	3
2717.116221255438	4	4	4	4
2727.855811062772	4	4	4	4
2738.5954008701055	4	4	4	4
2749.3349906774392	4	4	4	4
2760.074580484773	4	4	4	4
2770.814170292107	4	3	3	3
2781.5537600994408	4	4	4	4
2792.2933499067744	4	4	4	4
2803.032939714108	4	4	4	4
2813.772529521442	4	4	4	4
2824.512119328776	4	4	4	4
2835.2517091361096	4	3	3	3
2845.9912989434433	4	4	4	4
2856.730888750777	4	4	4	4
2867.4704785581102	4	4	4	4
2878.210068365444	4	4	4	4
2888.949658172778	4	4	4	4
2899.6892479801118	4	3	3	3
2910.4288377874454	4	4	4	4
2921.168427594779	4	4	4	4
2931.908017402113	4	4	4	4
2942.647607209447	4	4	4	4
2953.3871970167806	4	4	4	4
2964.1267868241143	4	3	3	3
2974.866376631448	4	4	4	4
2985.605966438782	4	4	4	4
2996.345556246116	4	4	4	4
3007.0851460534495	4	4	4	4
3017.824735860783	4	4	4	4
3028.564325668117	4	3	3	3
3039.303915475451	4	4	4	4
3050.043505282784	4	4	4	4
3060.783095090118	4	4	4	4
3071.5226848974517	4	4	4	4
3082.2622747047853	4	4	4	4
3093.001864512119	4	3	3	3
3103.741454319453	4	4	4	4
3114.481044126787	4	4	4	4
3125.2206339341205	4	4	4	4
3135.9602237414542	4	4	4	4
3146.699813548788	4	4	4	4
3157.439403356122	4	3	3	3
3168.1789931634557	4	4	4	4
3178.9185829707894	4	4	4	4
3189.658172778123	4	4	4	4
3200.397762585457	4	4	4	4
3211.137352392791	4	4	4	4
3221.8769422001246	4	3	3	3
3232.616532007458	4	4	4	4
3243.3561218147915	4	4	4	4
3254.0957116221252	4	4	4	4
3264.835301429459	4	4	4	4
3275.574891236793	4	4	4	4
3286.3144810441268	4	3	3	3
3297.0540708514604	4	4	4	4
3307.793660658794	4	4	4	4
3318.533250466128	4	4	4	4
3329.272840273462	4	4	4	4
3340.0124300807956	4	4	4	4
3350.7520198881293	4	3	3	3
3361.491609695463	4	4	4	4
3372.231199502797	4	4	4	4
3382.970789310131	4	4	4	4
3393.7103791174645	4	4	4	4
3404.449968924798	4	4	4	4
3415.189558732132	4	3	3	3
3425.929148539465	4	4	4	4
3436.668738346799	4	4	4	4
3447.408328154133	4	4	4	4
3458.1479179614666	4	4	4	4
3468.8875077688003	4	4	4	4
3479.627097576134	4	3	3	3
3490.366687383468	4	4	4	4
3501.106277190802	4	4	4	4
3511.8458669981355	4	4	4	4
3522.585456805469	4	4	4	4
3533.325046612803	4	4	4	4
3544.064636420137	4	3	3	3
3554.8042262274707	4	4	4	4
3565.5438160348044	4	4	4	4
3576.283405842138	4	4	4	4
3587.022995649472	4	4	4	4
3597.762585456806	4	4	4	4
3608.502175264139	4	3	3	3
3619.241765071473	4	4	4	4
3629.9813548788065	4	4	4	4
3640.7209446861402	4	4	4	4
3651.460534493474	4	4	4	4
3662.200124300808	4	4	4	4
3672.9397141081417	4	3	3	3
3683.6793039154754	4	4	4	4
3694.418893722809	4	4	4	4
3705.158483530143	4	4	4	4
3715.898073337477	4	4	4	4
3726.6376631448106	4	4	4	4
3737.3772529521443	4	3	3	3
3748.116842759478	4	4	4	4
3758.8564325668117	4	4	4	4
3769.596022374146	4	4	4	4
3780.3356121814795	4	4	4	4
3791.0752019888128	4	4	4	4
3801.8147917961464	4	3	3	3
3812.55438160348	4	4	4	4
3823.293971410814	4	4	4	4
3834.033561218148	4	4	4	4
3844.7731510254816	4	4	4	4
3855.5127408328153	4	4	4	4
3866.252330640149	4	3	3	3
3876.9919204474827	4	4	4	4
3887.731510254817	4	4	4	4
3898.4711000621505	4	4	4	4
3909.210689869484	4	4	4	4
3919.950279676818	4	4	4	4
3930.689869484152	4	3	3	3
3941.4294592914857	4	4	4	4
3952.1690490988194	4	4	4	4
3962.908638906153	4	4	4	4
3973.6482287134863	4	4	4	4
3984.38781852082	4	4	4	4
