Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695e6f8748910ce3406126ab - minikube	Unknown Heuristic - Run None (Profile ?) 695e6f8748910ce3406126ab - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695e6f8748910ce3406126ab - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695e6f8748910ce3406126ab - minikube-m04
3357.7050386171386	4	4	4	4
3368.2971680764986	4	3	3	3
3378.889297535859	4	4	4	4
3389.481426995219	4	4	4	4
3400.073556454579	4	4	4	4
3410.665685913939	4	4	4	4
3421.2578153732993	4	4	4	4
3431.8499448326593	4	3	3	3
3442.4420742920192	4	4	4	4
3453.034203751379	4	4	4	4
3463.6263332107396	4	4	4	4
3474.2184626700996	4	4	4	4
3484.8105921294596	4	4	4	4
3495.4027215888195	4	3	3	3
3505.994851048179	4	4	4	4
3516.5869805075395	4	4	4	4
3527.1791099668994	4	4	4	4
3537.7712394262594	4	4	4	4
3548.3633688856194	4	4	4	4
3558.95549834498	4	3	3	3
3569.5476278043398	4	4	4	4
3580.1397572636997	4	4	4	4
3590.7318867230597	4	4	4	4
3601.32401618242	4	4	4	4
3611.91614564178	4	4	4	4
3622.50827510114	4	3	3	3
3633.1004045605	4	4	4	4
3643.69253401986	4	4	4	4
3654.2846634792204	4	4	4	4
3664.8767929385804	4	4	4	4
3675.4689223979403	4	4	4	4
3686.0610518573003	4	3	3	3
3696.6531813166607	4	4	4	4
3707.2453107760207	4	4	4	4
3717.8374402353807	4	4	4	4
3728.4295696947406	4	4	4	4
3739.021699154101	4	4	4	4
3749.613828613461	4	3	3	3
3760.205958072821	4	4	4	4
3770.798087532181	4	4	4	4
3781.3902169915414	4	4	4	4
3791.9823464509013	4	4	4	4
3802.5744759102613	4	4	4	4
3813.1666053696213	4	3	3	3
3823.7587348289817	4	4	4	4
3834.3508642883417	4	4	4	4
3844.942993747701	4	4	4	4
3855.535123207061	4	4	4	4
3866.127252666421	4	4	4	4
3876.7193821257815	4	3	3	3
3887.3115115851415	4	4	4	4
3897.9036410445015	4	4	4	4
3908.4957705038614	4	4	4	4
3919.087899963222	4	4	4	4
3929.680029422582	4	4	4	4
3940.272158881942	4	3	3	3
3950.8642883413017	4	4	4	4
3961.4564178006617	4	4	4	4
3972.048547260022	4	4	4	4
3982.640676719382	4	4	4	4
3993.232806178742	4	4	4	4
4003.824935638102	4	3	3	3
4014.4170650974625	4	4	4	4
4025.0091945568224	4	4	4	4
4035.6013240161824	4	4	4	4
4046.1934534755424	4	4	4	4
4056.785582934903	4	4	4	4
4067.3777123942627	4	3	3	3
4077.9698418536227	4	4	4	4
4088.5619713129827	4	4	4	4
4099.154100772343	4	4	4	4
4109.746230231703	4	4	4	4
4120.3383596910635	4	4	4	4
4130.930489150423	4	3	3	3
4141.522618609783	4	4	4	4
4152.114748069143	4	4	4	4
4162.706877528503	4	4	4	4
4173.299006987863	4	4	4	4
4183.891136447223	4	4	4	4
4194.483265906583	4	3	3	3
4205.075395365943	4	4	4	4
4215.667524825303	4	4	4	4
4226.259654284663	4	4	4	4
4236.851783744023	4	4	4	4
4247.443913203383	4	4	4	4
4258.036042662744	4	3	3	3
4268.628172122104	4	4	4	4
4279.220301581464	4	4	4	4
4289.812431040824	4	4	4	4
4300.404560500184	4	4	4	4
4310.996689959544	4	4	4	4
4321.588819418904	4	3	3	3
4332.180948878264	4	4	4	4
4342.773078337624	4	4	4	4
4353.365207796985	4	4	4	4
4363.9573372563445	4	4	4	4
4374.5494667157045	4	4	4	4
4385.1415961750645	4	3	3	3
4395.733725634424	4	4	4	4
4406.325855093784	4	4	4	4
4416.917984553144	4	4	4	4
4427.510114012504	4	4	4	4
4438.102243471865	4	4	4	4
4448.694372931225	4	3	3	3
4459.286502390585	4	4	4	4
4469.878631849945	4	4	4	4
4480.470761309305	4	4	4	4
4491.062890768665	4	4	4	4
4501.655020228025	4	4	4	4
4512.247149687385	4	3	3	3
4522.839279146745	4	4	4	4
4533.431408606105	4	4	4	4
4544.023538065465	4	4	4	4
4554.615667524825	4	4	4	4
4565.207796984185	4	4	4	4
4575.799926443546	4	3	3	3
4586.392055902906	4	4	4	4
4596.984185362266	4	4	4	4
4607.576314821626	4	4	4	4
4618.168444280986	4	4	4	4
4628.7605737403455	4	4	4	4
4639.3527031997055	4	3	3	3
4649.9448326590655	4	4	4	4
4660.536962118425	4	4	4	4
4671.129091577786	4	4	4	4
4681.721221037146	4	4	4	4
4692.313350496506	4	4	4	4
4702.905479955866	4	3	3	3
4713.497609415226	4	4	4	4
4724.089738874586	4	4	4	4
4734.681868333946	4	4	4	4
4745.273997793306	4	4	4	4
4755.866127252667	4	4	4	4
4766.458256712027	4	3	3	3
4777.050386171387	4	4	4	4
4787.642515630747	4	4	4	4
4798.234645090107	4	4	4	4
4808.826774549467	4	4	4	4
4819.418904008827	4	4	4	4
4830.011033468187	4	3	3	3
4840.603162927547	4	4	4	4
4851.195292386907	4	4	4	4
4861.787421846267	4	4	4	4
4872.379551305627	4	4	4	4
4882.971680764987	4	4	4	4
4893.563810224347	4	3	3	3
4904.155939683707	4	4	4	4
4914.748069143067	4	4	4	4
4925.340198602427	4	4	4	4
4935.932328061787	4	4	4	4
4946.524457521147	4	4	4	4
4957.116586980507	4	3	3	3
4967.708716439867	4	4	4	4
4978.300845899227	4	4	4	4
4988.892975358588	4	4	4	4
4999.485104817948	4	4	4	4
5010.077234277308	4	4	4	4
5020.669363736668	4	3	3	3
