Relative Time (Process)	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m02	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m03	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m04
2077.961662102631	4	4	4	4
2088.2486010239313	4	4	4	4
2098.5355399452314	4	3	3	3
2108.8224788665316	4	4	4	4
2119.1094177878317	4	4	4	4
2129.396356709132	4	4	4	4
2139.6832956304324	4	4	4	4
2149.970234551732	4	4	4	4
2160.2571734730327	4	3	3	3
2170.544112394333	4	4	4	4
2180.8310513156325	4	4	4	4
2191.117990236933	4	4	4	4
2201.4049291582332	4	4	4	4
2211.6918680795334	4	4	4	4
2221.9788070008335	4	3	3	3
2232.2657459221336	4	4	4	4
2242.552684843434	4	4	4	4
2252.839623764734	4	4	4	4
2263.126562686034	4	4	4	4
2273.413501607334	4	4	4	4
2283.7004405286343	4	3	3	3
2293.9873794499345	4	4	4	4
2304.274318371235	4	4	4	4
2314.5612572925347	4	4	4	4
2324.848196213835	4	4	4	4
2335.1351351351354	4	4	4	4
2345.422074056435	4	3	3	3
2355.7090129777353	4	4	4	4
2365.995951899036	4	4	4	4
2376.282890820336	4	4	4	4
2386.5698297416357	4	4	4	4
2396.8567686629362	4	4	4	4
2407.1437075842364	4	3	3	3
2417.430646505536	4	4	4	4
2427.7175854268366	4	4	4	4
2438.004524348137	4	4	4	4
2448.291463269437	4	4	4	4
2458.578402190737	4	4	4	4
2468.865341112037	4	3	3	3
2479.1522800333373	4	4	4	4
2489.4392189546375	4	4	4	4
2499.7261578759376	4	4	4	4
2510.0130967972377	4	4	4	4
2520.300035718538	4	4	4	4
2530.586974639838	4	3	3	3
2540.873913561138	4	4	4	4
2551.1608524824383	4	4	4	4
2561.4477914037384	4	4	4	4
2571.734730325039	4	4	4	4
2582.0216692463387	4	4	4	4
2592.308608167639	4	3	3	3
2602.5955470889394	4	4	4	4
2612.882486010239	4	4	4	4
2623.1694249315397	4	4	4	4
2633.45636385284	4	4	4	4
2643.74330277414	4	4	4	4
2654.03024169544	4	3	3	3
2664.31718061674	4	4	4	4
2674.6041195380403	4	4	4	4
2684.8910584593405	4	4	4	4
2695.1779973806406	4	4	4	4
2705.4649363019407	4	4	4	4
2715.751875223241	4	3	3	3
2726.0388141445414	4	4	4	4
2736.325753065841	4	4	4	4
2746.6126919871413	4	4	4	4
2756.899630908442	4	4	4	4
2767.1865698297415	4	4	4	4
2777.4735087510417	4	3	3	3
2787.7604476723423	4	4	4	4
2798.047386593642	4	4	4	4
2808.334325514942	4	4	4	4
2818.6212644362427	4	4	4	4
2828.9082033575423	4	4	4	4
2839.195142278843	4	3	3	3
2849.482081200143	4	4	4	4
2859.7690201214427	4	4	4	4
2870.0559590427433	4	4	4	4
2880.3428979640435	4	4	4	4
2890.629836885343	4	4	4	4
2900.9167758066437	4	3	3	3
2911.203714727944	4	4	4	4
2921.4906536492435	4	4	4	4
2931.777592570544	4	4	4	4
2942.0645314918443	4	4	4	4
2952.351470413144	4	4	4	4
2962.6384093344445	4	3	3	3
2972.9253482557447	4	4	4	4
2983.212287177045	4	4	4	4
2993.499226098345	4	4	4	4
3003.7861650196455	4	4	4	4
3014.073103940945	4	4	4	4
3024.3600428622453	4	3	3	3
3034.646981783546	4	4	4	4
3044.933920704846	4	4	4	4
3055.2208596261457	4	4	4	4
3065.5077985474463	4	4	4	4
3075.7947374687465	4	4	4	4
3086.081676390046	4	3	3	3
3096.3686153113467	4	4	4	4
3106.655554232647	4	4	4	4
3116.9424931539465	4	4	4	4
3127.229432075247	4	4	4	4
