Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c6d6943960aee07192633 - minikube	Unknown Heuristic - Run None (Profile ?) 695c6d6943960aee07192633 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c6d6943960aee07192633 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c6d6943960aee07192633 - minikube-m04
0.0	1	0	0	0
10.150375939849624	3	3	3	3
20.30075187969925	3	3	3	3
30.45112781954887	3	3	3	3
40.6015037593985	3	3	3	3
50.751879699248114	3	3	3	3
60.90225563909774	3	3	2	2
71.05263157894737	3	3	3	3
81.203007518797	3	3	3	3
91.35338345864662	3	3	3	3
101.50375939849623	3	3	3	3
111.65413533834585	3	3	3	3
121.80451127819548	3	3	2	2
131.95488721804512	3	3	3	3
142.10526315789474	3	3	3	3
152.25563909774436	3	3	3	3
162.406015037594	3	3	3	3
172.5563909774436	3	3	3	3
182.70676691729324	3	3	2	2
192.85714285714283	3	3	3	3
203.00751879699246	3	3	3	3
213.15789473684208	3	3	3	3
223.3082706766917	3	3	3	3
233.45864661654133	3	3	3	3
243.60902255639095	3	3	2	2
253.75939849624058	3	3	3	3
263.90977443609023	3	3	3	3
274.0601503759398	3	3	3	3
284.2105263157895	3	3	3	3
294.3609022556391	3	3	3	3
304.5112781954887	3	3	2	2
314.6616541353383	3	3	3	3
324.812030075188	3	3	3	3
334.9624060150376	3	3	3	3
345.1127819548872	3	3	3	3
355.2631578947368	3	3	3	3
365.4135338345865	3	3	2	2
375.56390977443607	3	3	3	3
385.71428571428567	3	3	3	3
395.8646616541353	3	3	3	3
406.0150375939849	3	3	3	3
416.16541353383457	3	3	3	3
426.31578947368416	3	3	2	2
436.4661654135338	3	3	3	3
446.6165413533834	3	3	3	3
456.76691729323306	3	3	3	3
466.91729323308266	3	3	3	3
477.0676691729323	3	3	3	3
487.2180451127819	3	3	2	2
497.36842105263156	3	3	3	3
507.51879699248116	3	3	3	3
517.6691729323308	3	3	3	3
527.8195488721805	3	3	3	3
537.9699248120301	3	3	3	3
548.1203007518797	3	3	2	2
558.2706766917292	3	3	3	3
568.421052631579	3	3	3	3
578.5714285714286	3	3	3	3
588.7218045112782	3	3	3	3
598.8721804511277	3	3	3	3
609.0225563909775	3	3	2	2
619.172932330827	3	3	3	3
629.3233082706766	3	3	3	3
639.4736842105262	3	3	3	3
649.624060150376	3	3	3	3
659.7744360902255	3	3	3	3
669.9248120300751	3	3	2	2
680.0751879699249	3	3	3	3
690.2255639097745	3	3	3	3
700.375939849624	3	3	3	3
710.5263157894736	3	3	3	3
720.6766917293234	3	3	3	3
730.827067669173	3	3	2	2
740.9774436090225	3	3	3	3
751.1278195488721	3	3	3	3
761.2781954887218	3	3	3	3
771.4285714285713	3	3	3	3
781.578947368421	3	3	3	3
791.7293233082706	3	3	2	2
801.8796992481203	3	3	3	3
812.0300751879698	3	3	3	3
822.1804511278195	3	3	3	3
832.3308270676691	3	3	3	3
842.4812030075188	3	3	3	3
852.6315789473683	3	3	2	2
862.781954887218	3	3	3	3
872.9323308270676	3	3	3	3
883.0827067669173	3	3	3	3
893.2330827067668	3	3	3	3
903.3834586466165	3	3	3	3
913.5338345864661	3	3	2	2
923.6842105263158	3	3	3	3
933.8345864661653	3	3	3	3
943.984962406015	3	3	3	3
954.1353383458646	3	3	3	3
964.2857142857143	3	3	3	3
974.4360902255638	3	3	2	2
984.5864661654135	3	3	3	3
994.7368421052631	3	3	3	3
1004.8872180451128	3	3	3	3
1015.0375939849623	3	3	3	3
1025.187969924812	3	3	3	3
1035.3383458646615	3	3	2	2
1045.4887218045112	3	3	3	3
1055.639097744361	3	3	3	3
1065.7894736842106	3	3	3	3
1075.9398496240601	3	3	3	3
1086.0902255639098	3	3	3	3
1096.2406015037593	3	3	2	2
1106.390977443609	3	3	3	3
1116.5413533834585	3	3	3	3
1126.6917293233082	3	3	3	3
1136.842105263158	3	3	3	3
1146.9924812030076	3	3	3	3
1157.142857142857	3	3	2	2
1167.2932330827068	3	3	3	3
1177.4436090225563	3	3	3	3
1187.593984962406	3	3	3	3
1197.7443609022555	3	3	3	3
1207.8947368421052	3	3	3	3
1218.045112781955	3	3	2	2
1228.1954887218046	3	3	3	3
1238.345864661654	3	3	3	3
1248.4962406015038	3	3	3	3
1258.6466165413533	3	3	3	3
1268.796992481203	3	3	3	3
1278.9473684210525	3	3	2	2
1289.0977443609022	3	3	3	3
1299.248120300752	3	3	3	3
1309.3984962406016	3	3	3	3
1319.548872180451	3	3	3	3
1329.6992481203008	3	3	3	3
1339.8496240601503	3	3	2	2
1350.0	3	3	3	3
1360.1503759398497	3	3	3	3
1370.3007518796994	3	3	3	3
1380.451127819549	3	3	3	3
1390.6015037593984	3	3	3	3
1400.751879699248	3	3	2	2
1410.9022556390978	3	3	3	3
1421.0526315789473	3	3	3	3
1431.203007518797	3	3	3	3
1441.3533834586467	3	3	3	3
1451.5037593984964	3	3	3	3
1461.654135338346	3	3	2	2
1471.8045112781954	3	3	3	3
1481.954887218045	3	3	3	3
1492.1052631578948	3	3	3	3
