Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a6c3fbda4624da2f10204 - minikube	Unknown Heuristic - Run None (Profile ?) 695a6c3fbda4624da2f10204 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a6c3fbda4624da2f10204 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a6c3fbda4624da2f10204 - minikube-m04
480.82999999999356	3	3	3	3
491.0099999999934	3	3	3	3
501.18999999999323	3	3	3	3
511.36999999999307	3	3	3	3
511.58999999999287	3	3	2	2
521.7799999999927	3	3	3	3
531.9599999999925	3	3	3	3
542.1399999999924	3	3	3	3
552.3199999999922	3	3	3	3
562.499999999992	3	3	3	3
562.7099999999919	3	3	2	2
572.8999999999917	3	3	3	3
583.0799999999915	3	3	3	3
593.2599999999914	3	3	3	3
603.4399999999912	3	3	3	3
613.619999999991	3	3	3	3
613.8299999999908	3	3	2	2
624.0199999999907	3	3	3	3
634.1999999999905	3	3	3	3
644.3799999999903	3	3	3	3
654.5599999999902	3	3	3	3
664.73999999999	3	3	3	3
664.9499999999898	3	3	2	2
675.1399999999896	3	3	3	3
685.3199999999895	3	3	3	3
695.4999999999893	3	3	3	3
705.6799999999891	3	3	3	3
715.859999999989	3	3	3	3
716.0699999999888	3	3	2	2
726.2599999999886	3	3	3	3
736.4399999999885	3	3	3	3
746.6199999999883	3	3	3	3
756.7999999999881	3	3	3	3
766.979999999988	3	3	3	3
767.1899999999878	3	3	2	2
777.3799999999876	3	3	3	3
787.5599999999874	3	3	3	3
797.7399999999873	3	3	3	3
807.9199999999871	3	3	3	3
818.099999999987	3	3	3	3
818.3099999999868	3	3	2	2
828.4999999999866	3	3	3	3
838.6799999999864	3	3	3	3
848.8599999999863	3	3	3	3
859.0399999999861	3	3	3	3
869.2199999999859	3	3	3	3
869.4299999999857	3	3	2	2
879.6199999999856	3	3	3	3
889.7999999999854	3	3	3	3
899.9799999999852	3	3	3	3
910.1599999999851	3	3	3	3
920.3399999999849	3	3	3	3
920.5499999999847	3	3	2	2
930.7399999999845	3	3	3	3
940.9199999999844	3	3	3	3
951.0999999999842	3	3	3	3
961.279999999984	3	3	3	3
971.4599999999839	3	3	3	3
971.6699999999837	3	3	2	2
981.8599999999835	3	3	3	3
992.0399999999834	3	3	3	3
1002.2199999999832	3	3	3	3
1012.399999999983	3	3	3	3
1022.5799999999829	3	3	3	3
1022.7999999999827	3	3	2	2
1032.9899999999827	3	3	3	3
1043.1699999999826	3	3	3	3
1053.3499999999824	3	3	3	3
1063.5299999999822	3	3	3	3
1073.709999999982	3	3	3	3
1073.9199999999819	3	3	2	2
1084.1099999999817	3	3	3	3
1094.2899999999815	3	3	3	3
1104.4699999999814	3	3	3	3
1114.6499999999812	3	3	3	3
1124.829999999981	3	3	3	3
1125.0399999999809	3	3	2	2
1135.2299999999807	3	3	3	3
1145.4099999999805	3	3	3	3
1155.5899999999804	3	3	3	3
1165.7699999999802	3	3	3	3
1175.94999999998	3	3	3	3
1176.1599999999798	3	3	2	2
1186.3499999999797	3	3	3	3
1196.5299999999795	3	3	3	3
1206.7099999999793	3	3	3	3
1216.8899999999792	3	3	3	3
1227.069999999979	3	3	3	3
1227.2799999999788	3	3	2	2
1237.4699999999787	3	3	3	3
1247.6499999999785	3	3	3	3
1257.8299999999783	3	3	3	3
1268.0099999999782	3	3	3	3
1278.189999999978	3	3	3	3
1278.3999999999778	3	3	2	2
1288.5899999999776	3	3	3	3
1298.7699999999775	3	3	3	3
1308.9499999999773	3	3	3	3
1319.1299999999771	3	3	3	3
1329.309999999977	3	3	3	3
1329.5199999999768	3	3	2	2
1339.7099999999766	3	3	3	3
1349.8899999999765	3	3	3	3
1360.0699999999763	3	3	3	3
1370.2499999999761	3	3	3	3
1380.429999999976	3	3	3	3
1380.6399999999758	3	3	2	2
1390.8299999999756	3	3	3	3
1401.0099999999754	3	3	3	3
1411.1899999999753	3	3	3	3
1421.369999999975	3	3	3	3
1431.549999999975	3	3	3	3
1431.7599999999748	3	3	2	2
1441.9499999999746	3	3	3	3
1452.1299999999744	3	3	3	3
1462.3099999999743	3	3	3	3
1472.489999999974	3	3	3	3
1482.669999999974	3	3	3	3
1482.8799999999737	3	3	2	2
1493.0699999999736	3	3	3	3
1503.2499999999734	3	3	3	3
1513.4299999999732	3	3	3	3
1523.609999999973	3	3	3	3
1533.789999999973	3	3	3	3
1534.0099999999727	3	3	2	2
1544.1999999999725	3	3	3	3
1554.3799999999724	3	3	3	3
1564.5599999999722	3	3	3	3
1574.739999999972	3	3	3	3
1584.9199999999719	3	3	3	3
1585.1299999999717	3	3	2	2
1595.3199999999715	3	3	3	3
1605.4999999999714	3	3	3	3
1615.6799999999712	3	3	3	3
1625.859999999971	3	3	3	3
1636.0399999999709	3	3	3	3
1636.2499999999707	3	3	2	2
1646.4399999999705	3	3	3	3
1656.6199999999703	3	3	3	3
1666.7999999999702	3	3	3	3
1676.97999999997	3	3	3	3
1687.1599999999698	3	3	3	3
1687.3699999999697	3	3	2	2
1697.5599999999695	3	3	3	3
1707.7399999999693	3	3	3	3
1717.9199999999691	3	3	3	3
1728.099999999969	3	3	3	3
1738.2799999999688	3	3	3	3
1738.4899999999686	3	3	2	2
1748.6799999999685	3	3	3	3
1758.8599999999683	3	3	3	3
1769.0399999999681	3	3	3	3
1779.219999999968	3	3	3	3
1789.3999999999678	3	3	3	3
1789.6099999999676	3	3	2	2
