Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m04
1925.0059255747806	3	3	2	2
1935.2453187959231	3	3	2	2
1945.4847120170655	3	3	2	2
1955.724105238208	3	3	2	2
1965.9634984593506	2	2	2	2
1976.202891680493	3	3	2	2
1986.4422849016355	3	3	2	2
1996.681678122778	3	3	2	2
2006.9210713439204	3	3	2	2
2017.160464565063	3	3	2	2
2027.3998577862053	2	2	2	2
2037.6392510073476	3	3	2	2
2047.87864422849	3	3	2	2
2058.1180374496325	3	3	2	2
2068.357430670775	3	3	2	2
2078.5968238919177	3	3	2	2
2088.83621711306	2	2	2	2
2099.0756103342023	3	3	2	2
2109.315003555345	3	3	2	2
2119.5543967764875	3	3	2	2
2129.79378999763	3	3	2	2
2140.033183218772	3	3	2	2
2150.2725764399147	2	2	2	2
2160.511969661057	3	3	2	2
2170.7513628821994	3	3	2	2
2180.990756103342	3	3	2	2
2191.2301493244845	3	3	2	2
2201.469542545627	3	3	2	2
2211.7089357667696	2	2	2	2
2221.9483289879117	3	3	2	2
2232.1877222090543	3	3	2	2
2242.427115430197	3	3	2	2
2252.6665086513394	3	3	2	2
2262.9059018724815	3	3	2	2
2273.145295093624	2	2	2	2
2283.3846883147667	3	3	2	2
2293.6240815359088	3	3	2	2
2303.8634747570513	3	3	2	2
2314.102867978194	3	3	2	2
2324.3422611993365	3	3	2	2
2334.581654420479	2	2	2	2
2344.821047641621	3	3	2	2
2355.0604408627637	3	3	2	2
2365.299834083906	3	3	2	2
2375.5392273050484	3	3	2	2
2385.778620526191	3	3	2	2
2396.0180137473335	2	2	2	2
2406.257406968476	3	3	2	2
2416.496800189618	3	3	2	2
2426.7361934107607	3	3	2	2
2436.9755866319033	3	3	2	2
2447.214979853046	3	3	2	2
2457.4543730741884	2	2	2	2
2467.693766295331	3	3	2	2
2477.933159516473	3	3	2	2
2488.1725527376157	3	3	2	2
2498.4119459587578	3	3	2	2
2508.6513391799003	3	3	2	2
2518.890732401043	2	2	2	2
2529.1301256221855	3	3	2	2
2539.369518843328	3	3	2	2
2549.60891206447	3	3	2	2
2559.8483052856127	3	3	2	2
2570.0876985067553	3	3	2	2
2580.327091727898	2	2	2	2
2590.56648494904	3	3	2	2
2600.8058781701825	3	3	2	2
2611.045271391325	3	3	2	2
2621.284664612467	3	3	2	2
2631.5240578336097	3	3	2	2
2641.7634510547523	2	2	2	2
2652.002844275895	3	3	2	2
2662.2422374970374	3	3	2	2
2672.4816307181795	3	3	2	2
2682.721023939322	3	3	2	2
2692.9604171604647	3	3	2	2
2703.199810381607	2	2	2	2
2713.4392036027493	3	3	2	2
2723.6785968238923	3	3	2	2
2733.9179900450345	3	3	2	2
2744.157383266177	3	3	2	2
2754.396776487319	3	3	2	2
2764.6361697084612	2	2	2	2
2774.8755629296043	3	3	2	2
2785.1149561507464	3	3	2	2
2795.3543493718894	3	3	2	2
2805.5937425930315	3	3	2	2
2815.833135814174	3	3	2	2
2826.072529035316	2	2	2	2
2836.311922256459	3	3	2	2
2846.5513154776013	3	3	2	2
