Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m04
2579.764545299437	3	2	2	2
2594.506056986862	3	3	3	2
2609.247568674288	2	2	1	1
2623.989080361713	3	3	2	2
2638.7305920491385	3	3	3	2
2653.472103736564	3	2	2	2
2668.213615423989	3	3	3	3
2682.9551271114146	3	3	2	2
2697.69663879884	3	3	3	2
2712.4381504862654	4	4	3	3
2727.1796621736903	2	2	2	2
2741.9211738611157	2	2	1	1
2756.662685548541	2	2	2	2
2771.404197235967	2	2	2	1
2786.1457089233922	2	2	2	2
2800.887220610817	2	2	1	1
2815.6287322982425	3	2	2	2
2830.370243985668	2	2	1	1
2845.1117556730933	2	1	1	1
2859.853267360518	3	3	2	2
2874.594779047944	2	2	1	1
2889.3362907353694	3	3	2	2
2904.077802422795	3	3	2	2
2918.81931411022	2	2	2	1
2933.560825797645	2	2	2	1
2948.302337485071	3	3	2	2
2963.0438491724963	3	3	3	2
2977.7853608599216	3	3	3	2
2992.526872547347	3	3	3	2
3007.268384234772	2	2	2	2
3022.0098959221973	3	3	3	3
3036.751407609623	3	2	2	2
3051.4929192970485	3	3	3	3
3066.234430984474	2	2	2	2
3080.975942671899	2	2	2	1
3095.717454359324	2	2	2	1
3110.4589660467495	4	3	3	3
3125.2004777341754	3	2	2	2
3139.9419894216007	3	3	3	2
3154.6835011090257	3	3	3	3
3169.425012796451	3	2	2	2
3184.1665244838764	2	2	2	2
3198.9080361713022	3	2	2	2
3213.6495478587267	1	1	1	1
3228.3910595461525	3	3	2	2
3243.132571233578	2	2	2	2
3257.8740829210033	3	2	2	2
3272.6155946084286	2	2	1	1
3287.3571062958536	3	2	2	2
3302.0986179832794	2	2	1	1
3316.8401296707048	3	2	2	2
3331.58164135813	4	3	3	3
3346.3231530455555	3	3	3	3
3361.0646647329804	3	3	2	2
3375.806176420406	3	3	3	2
3390.5476881078316	2	2	1	1
3405.289199795257	4	3	3	3
3420.0307114826824	3	3	2	2
3434.7722231701073	3	3	2	2
3449.5137348575327	2	2	2	1
3464.255246544958	3	2	2	2
3478.996758232384	3	3	3	2
3493.738269919809	3	2	2	2
3508.479781607234	4	3	3	3
3523.2212932946595	2	2	2	2
3537.962804982085	2	2	2	1
3552.7043166695107	3	2	2	2
3567.445828356935	3	3	3	2
3582.187340044361	3	3	3	3
3596.9288517317864	3	3	2	2
3611.6703634192118	3	2	2	2
3626.411875106637	3	2	2	2
3641.153386794062	3	3	2	2
3655.894898481488	3	2	2	2
3670.6364101689132	3	3	3	2
3685.3779218563386	4	4	3	3
3700.119433543764	3	3	2	2
3714.860945231189	2	2	2	1
3729.6024569186143	2	1	1	1
3744.34396860604	2	2	2	1
3759.0854802934655	4	3	3	3
3773.826991980891	3	3	3	3
3788.5685036683158	2	2	2	2
3803.310015355741	2	2	2	2
3818.051527043167	3	3	2	2
3832.7930387305923	4	4	4	3
3847.5345504180173	2	2	2	1
3862.2760621054426	3	2	2	2
3877.017573792868	2	2	2	2
3891.7590854802934	2	2	1	1
3906.500597167719	3	2	2	2
3921.242108855144	3	2	2	2
3935.9836205425695	3	3	2	2
3950.725132229995	3	3	3	3
3965.4666439174202	3	3	3	3
3980.2081556048456	3	2	2	2
3994.9496672922705	3	3	2	2
4009.6911789796964	3	2	2	2
4024.4326906671217	3	2	2	2
4039.174202354547	4	4	3	3
4053.9157140419725	3	3	3	2
4068.6572257293974	3	3	2	2
4083.3987374168228	3	3	3	2
4098.140249104248	3	3	2	2
4112.8817607916735	2	2	1	1
4127.6232724791	3	3	3	2
4142.364784166524	3	3	3	3
4157.10629585395	3	2	2	2
4171.847807541375	4	3	3	3
4186.5893192288	4	4	3	3
4201.330830916226	3	3	3	3
4216.072342603651	3	3	2	2
4230.8138542910765	3	3	3	2
4245.555365978502	3	3	3	2
4260.296877665927	3	3	3	2
4275.038389353353	2	2	2	1
4289.779901040778	3	3	2	2
4304.521412728203	3	2	2	2
4319.262924415629	2	2	2	2
4334.004436103054	2	2	2	2
4348.7459477904795	4	4	4	3
4363.487459477905	3	3	2	2
4378.22897116533	4	3	3	3
4392.970482852756	3	2	2	2
4407.711994540181	2	2	2	2
4422.453506227606	2	2	2	2
4437.195017915032	3	2	2	2
4451.936529602457	2	2	2	1
4466.6780412898825	4	3	3	3
4481.419552977308	4	4	3	3
4496.161064664733	2	2	2	2
4510.902576352159	2	2	2	2
4525.644088039584	2	2	1	1
4540.385599727009	2	2	2	2
4555.127111414434	3	3	3	2
4569.868623101859	2	2	2	1
4584.610134789285	3	3	3	3
4599.351646476711	3	3	3	2
4614.093158164136	3	2	2	2
4628.834669851561	3	2	2	2
4643.576181538986	2	2	2	2
4658.317693226412	4	4	3	3
4673.059204913838	4	4	4	3
4687.800716601263	3	3	3	3
4702.5422282886875	4	3	3	3
4717.283739976113	3	3	3	3
4732.025251663538	3	2	2	2
4746.7667633509645	3	3	2	2
4761.50827503839	3	3	2	2
4776.249786725814	3	2	2	2
4790.99129841324	2	2	2	1
4805.732810100665	2	2	2	1
4820.4743217880905	2	1	1	1
4835.215833475517	2	2	2	2
4849.957345162941	3	3	2	2
4864.698856850367	2	2	2	2
4879.440368537792	3	3	2	2
4894.181880225217	3	3	3	3
4908.923391912643	3	3	3	2
4923.664903600068	3	3	2	2
4938.4064152874935	3	3	2	2
4953.147926974919	2	2	2	2
4967.889438662344	3	3	3	3
4982.63095034977	3	3	2	2
4997.372462037195	3	3	3	2
5012.11397372462	3	3	3	3
5026.855485412046	3	3	2	2
5041.596997099471	3	3	2	2
5056.338508786896	2	2	2	1
5071.080020474322	2	2	2	2
5085.821532161747	2	2	2	2
5100.563043849173	4	4	3	3
5115.304555536598	4	3	3	3
5130.046067224023	3	3	3	2
5144.787578911449	2	1	1	1
5159.529090598874	3	3	2	2
5174.270602286299	3	3	2	2
5189.012113973724	4	4	3	3
5203.75362566115	3	3	3	2
5218.495137348576	3	2	2	2
5233.236649036001	3	3	2	2
5247.978160723426	3	2	2	2
5262.719672410851	2	2	2	2
5277.461184098277	2	2	2	2
5292.202695785702	3	3	2	2
5306.944207473128	2	2	2	2
5321.685719160553	3	3	2	2
5336.427230847978	3	3	3	3
5351.168742535403	2	2	1	1
5365.910254222829	2	2	1	1
5380.651765910255	2	1	1	1
5395.39327759768	1	1	1	1
5410.134789285105	2	2	2	2
5424.876300972531	3	3	2	2
5439.617812659955	3	3	3	3
5454.359324347381	3	3	2	2
5469.100836034806	2	2	2	1
5483.842347722231	2	2	2	1
5498.583859409657	3	3	3	3
5513.325371097082	2	2	2	2
5528.066882784508	3	3	3	3
5542.808394471934	3	2	2	2
5557.549906159359	4	3	3	3
5572.2914178467845	3	3	3	2
5587.032929534209	3	3	2	2
5601.774441221634	3	3	3	3
5616.51595290906	3	3	2	2
5631.257464596485	4	4	3	3
5645.99897628391	3	3	2	2
5660.740487971336	2	2	2	2
5675.481999658761	3	3	3	3
5690.223511346187	3	3	2	2
5704.965023033613	2	2	2	2
5719.706534721036	2	2	2	2
5734.448046408463	3	3	2	2
5749.189558095888	2	2	2	2
5763.931069783313	3	2	2	2
5778.672581470739	3	3	3	2
5793.414093158164	2	2	2	2
5808.15560484559	4	3	3	3
5822.897116533015	3	3	3	3
5837.63862822044	3	2	2	2
5852.380139907866	4	4	3	3
5867.12165159529	3	3	3	2
5881.8631632827155	3	3	3	2
5896.604674970142	3	3	3	3
5911.346186657567	2	2	2	1
5926.0876983449925	2	2	2	1
5940.829210032418	3	3	3	2
5955.570721719843	3	3	3	3
5970.312233407269	3	3	3	2
5985.053745094694	2	2	2	1
5999.795256782119	3	2	2	2
6014.536768469544	2	2	2	2
6029.278280156969	2	2	2	2
6044.019791844395	3	3	2	2
6058.76130353182	3	3	3	2
6073.502815219246	3	3	2	2
6088.244326906672	3	3	3	2
6102.985838594097	3	2	2	2
6117.727350281522	1	1	1	1
6132.468861968948	3	2	2	2
6147.210373656372	3	3	3	2
6161.951885343798	3	3	2	2
6176.693397031223	3	2	2	2
6191.434908718648	2	2	1	1
6206.176420406074	3	2	2	2
6220.917932093499	3	3	3	2
6235.659443780925	2	2	2	2
6250.400955468351	2	2	2	2
6265.142467155776	2	2	2	1
6279.8839788432015	2	2	2	1
6294.625490530626	3	2	2	2
6309.367002218051	2	2	2	2
6324.108513905477	2	2	2	1
6338.850025592902	2	2	2	1
6353.591537280327	3	3	2	2
6368.333048967753	3	2	2	2
6383.074560655178	3	3	2	2
6397.8160723426045	3	2	2	2
6412.55758403003	4	3	3	3
6427.299095717453	4	4	3	3
6442.04060740488	4	3	3	3
6456.782119092305	3	3	3	2
6471.52363077973	2	2	2	2
6486.265142467156	3	3	3	2
6501.006654154581	3	3	2	2
6515.7481658420065	2	2	2	1
6530.489677529432	2	2	2	2
6545.231189216857	2	2	2	2
6559.972700904284	3	3	3	2
6574.714212591707	4	4	4	4
6589.4557242791325	3	3	2	2
6604.197235966559	4	3	3	3
6618.938747653984	2	2	2	2
6633.6802593414095	2	2	1	1
6648.421771028835	2	2	2	1
6663.16328271626	2	2	1	1
6677.904794403686	2	2	2	2
6692.646306091111	4	4	3	3
6707.3878177785355	4	4	3	3
6722.129329465961	3	3	3	2
6736.870841153386	3	3	3	2
6751.612352840812	3	3	3	3
6766.353864528238	3	2	2	2
6781.095376215663	3	3	3	3
