Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m04
1527.0413573700955	3	3	3	2
1542.3117709437963	2	1	1	1
1557.5821845174976	1	1	1	1
1572.8525980911984	2	2	2	2
1588.1230116648994	4	4	4	3
1603.3934252386002	3	3	3	2
1618.6638388123013	3	3	2	2
1633.934252386002	2	2	1	1
1649.204665959703	2	2	1	1
1664.475079533404	3	3	2	2
1679.7454931071052	3	3	3	3
1695.015906680806	2	2	2	2
1710.286320254507	2	2	2	2
1725.5567338282078	2	2	1	1
1740.8271474019089	2	1	1	1
1756.0975609756097	3	3	3	3
1771.367974549311	4	3	3	3
1786.6383881230115	4	3	3	3
1801.9088016967128	2	2	2	1
1817.1792152704136	3	2	2	2
1832.4496288441146	3	2	2	2
1847.7200424178154	2	2	2	1
1862.9904559915165	2	2	2	1
1878.2608695652173	2	2	1	1
1893.5312831389185	3	3	3	3
1908.8016967126193	4	3	3	3
1924.0721102863204	3	3	3	2
1939.3425238600212	2	2	2	2
1954.6129374337222	3	3	3	2
1969.883351007423	3	3	3	2
1985.153764581124	3	3	2	2
2000.4241781548249	3	3	3	2
2015.6945917285261	3	3	2	2
2030.965005302227	3	3	3	3
2046.235418875928	4	3	3	3
2061.505832449629	3	3	3	3
2076.77624602333	3	2	2	2
2092.0466595970306	2	2	2	2
2107.317073170732	2	2	2	2
2122.5874867444327	4	4	3	3
2137.8579003181335	3	2	2	2
2153.1283138918343	3	3	3	3
2168.3987274655356	2	2	2	2
2183.6691410392364	3	2	2	2
2198.9395546129376	2	2	2	2
2214.2099681866384	3	3	3	2
2229.4803817603392	4	3	3	3
2244.75079533404	2	2	2	2
2260.0212089077413	3	3	3	3
2275.291622481442	3	2	2	2
2290.5620360551434	2	2	2	2
2305.832449628844	3	3	3	2
2321.102863202545	2	2	2	1
2336.373276776246	3	3	3	3
2351.643690349947	3	3	3	3
2366.914103923648	2	2	2	2
2382.184517497349	2	2	2	1
2397.45493107105	3	2	2	2
2412.7253446447507	3	2	2	2
2427.9957582184516	4	3	3	3
2443.266171792153	3	3	2	2
2458.5365853658536	3	3	2	2
2473.8069989395544	2	2	2	2
2489.0774125132552	3	3	2	2
2504.3478260869565	3	3	2	2
2519.6182396606573	3	3	2	2
2534.8886532343586	4	3	3	3
2550.1590668080594	2	2	2	1
2565.42948038176	2	2	1	1
2580.699893955461	2	2	2	1
2595.9703075291623	2	2	2	2
2611.240721102863	3	3	3	3
2626.5111346765643	3	3	3	3
2641.781548250265	3	3	3	3
2657.051961823966	3	3	3	2
2672.3223753976667	2	2	2	1
2687.592788971368	3	3	2	2
2702.8632025450693	4	3	3	3
2718.13361611877	3	3	2	2
2733.404029692471	2	2	2	1
2748.6744432661717	2	2	2	1
2763.944856839873	2	2	2	2
2779.2152704135738	3	3	2	2
2794.4856839872746	3	2	2	2
2809.756097560976	3	3	3	2
2825.0265111346766	3	3	2	2
2840.2969247083774	2	2	2	1
2855.5673382820783	3	2	2	2
2870.8377518557795	3	2	2	2
2886.1081654294803	2	2	2	2
2901.378579003181	3	3	3	2
2916.648992576882	4	3	3	3
2931.9194061505837	3	3	2	2
2947.1898197242845	4	3	3	3
2962.4602332979853	3	3	2	2
2977.730646871686	3	3	2	2
2993.0010604453873	3	3	3	3
3008.271474019088	3	3	3	2
3023.541887592789	3	2	2	2
3038.8123011664898	2	2	2	2
3054.082714740191	2	2	2	2
3069.353128313892	2	2	1	1
3084.6235418875926	3	2	2	2
3099.8939554612934	3	3	2	2
3115.164369034995	3	2	2	2
3130.434782608696	3	3	3	2
3145.705196182397	2	2	2	2
3160.9756097560976	2	2	1	1
3176.246023329799	3	2	2	2
3191.5164369034997	3	3	2	2
3206.7868504772005	2	2	2	1
3222.0572640509013	3	3	2	2
3237.3276776246025	2	2	2	2
3252.5980911983033	3	3	3	2
3267.868504772004	3	2	2	2
3283.138918345705	3	3	2	2
3298.409331919406	2	2	2	1
3313.679745493107	3	3	2	2
3328.950159066808	4	3	3	3
3344.2205726405086	3	2	2	2
3359.4909862142104	3	2	2	2
3374.761399787911	2	2	2	2
3390.031813361612	2	2	2	1
3405.302226935313	2	2	1	1
3420.572640509014	3	3	3	3
3435.843054082715	2	2	2	2
3451.1134676564157	3	2	2	2
3466.3838812301165	2	2	2	1
3481.6542948038177	2	1	1	1
3496.9247083775185	3	2	2	2
3512.1951219512193	2	2	1	1
3527.46553552492	3	2	2	2
3542.735949098622	2	2	2	1
3558.0063626723227	3	3	2	2
3573.276776246023	3	2	2	2
3588.547189819724	2	2	2	2
3603.8176033934255	3	3	3	3
3619.0880169671264	3	3	2	2
3634.358430540827	4	4	3	3
3649.628844114528	3	3	2	2
3664.899257688229	3	2	2	2
3680.16967126193	4	3	3	3
3695.440084835631	3	3	3	2
3710.7104984093316	3	3	2	2
3725.980911983033	2	2	2	1
3741.2513255567337	2	2	1	1
3756.5217391304345	2	2	1	1
3771.7921527041353	3	3	3	2
3787.062566277837	3	2	2	2
3802.332979851538	3	3	2	2
3817.6033934252387	4	4	4	3
3832.8738069989395	3	3	3	3
3848.1442205726407	3	2	2	2
3863.4146341463415	3	3	3	2
3878.6850477200423	2	2	2	1
3893.955461293743	2	2	2	2
3909.2258748674444	4	4	3	3
3924.496288441145	2	2	2	1
3939.766702014846	2	2	2	1
3955.037115588547	2	2	2	2
3970.307529162248	4	3	3	3
3985.577942735949	3	2	2	2
4000.8483563096497	3	3	3	2
4016.1187698833505	3	3	3	3
4031.3891834570522	3	2	2	2
4046.659597030753	1	1	1	1
4061.930010604454	3	3	2	2
4077.2004241781547	3	2	2	2
4092.470837751856	3	3	3	2
4107.741251325557	3	3	3	2
4123.011664899258	3	2	2	2
4138.282078472958	3	2	2	2
4153.55249204666	2	2	2	1
4168.822905620361	3	2	2	2
4184.093319194061	2	2	2	2
4199.3637327677625	2	2	2	1
4214.634146341464	2	2	2	1
4229.904559915164	2	2	2	1
4245.174973488865	4	3	3	3
4260.445387062567	4	4	4	3
4275.715800636267	4	4	3	3
4290.986214209968	3	3	2	2
4306.256627783669	2	2	2	2
4321.527041357371	2	2	2	1
4336.797454931071	3	2	2	2
4352.067868504772	4	3	3	3
4367.338282078473	3	3	3	2
4382.608695652174	2	2	2	2
4397.879109225875	2	2	2	1
4413.149522799576	2	2	2	2
4428.419936373277	2	2	1	1
4443.690349946978	3	3	2	2
4458.9607635206785	3	3	2	2
4474.23117709438	3	3	2	2
4489.50159066808	2	2	2	1
4504.772004241781	3	2	2	2
4520.042417815483	3	3	3	3
4535.312831389183	3	2	2	2
4550.583244962884	2	2	2	2
4565.8536585365855	3	2	2	2
4581.124072110287	3	2	2	2
4596.394485683987	3	3	3	3
4611.664899257688	3	3	2	2
4626.93531283139	3	2	2	2
4642.20572640509	3	3	2	2
4657.476139978791	3	3	2	2
4672.746553552492	3	2	2	2
4688.016967126193	3	3	3	2
4703.287380699894	3	2	2	2
4718.5577942735945	3	3	2	2
4733.828207847296	3	3	3	2
4749.098621420997	3	3	2	2
4764.369034994698	2	2	2	2
4779.639448568399	3	3	2	2
4794.9098621421	3	2	2	2
4810.180275715801	3	3	3	3
4825.4506892895015	4	3	3	3
4840.721102863203	3	3	2	2
4855.991516436903	3	2	2	2
4871.261930010604	2	2	2	2
4886.532343584306	3	3	3	2
4901.802757158006	3	3	3	3
4917.073170731707	2	2	1	1
4932.3435843054085	3	2	2	2
4947.613997879109	2	2	2	1
4962.88441145281	4	3	3	3
4978.1548250265105	3	3	3	2
4993.425238600213	3	3	3	2
5008.695652173913	4	4	3	3
5023.966065747614	4	4	3	3
5039.236479321315	3	3	3	3
5054.506892895016	2	2	2	1
5069.777306468717	3	3	3	3
5085.0477200424175	2	2	2	1
5100.318133616119	3	3	2	2
5115.58854718982	2	2	2	1
5130.85896076352	2	2	1	1
5146.129374337222	3	3	2	2
5161.399787910922	3	3	2	2
5176.670201484624	3	3	3	3
5191.9406150583245	3	3	2	2
5207.211028632026	3	3	3	3
5222.481442205726	3	3	2	2
5237.751855779427	4	3	3	3
5253.022269353129	4	3	3	3
5268.292682926829	3	2	2	2
5283.56309650053	3	3	2	2
5298.8335100742315	2	2	2	2
5314.103923647932	2	2	2	1
5329.374337221633	3	3	2	2
5344.6447507953335	2	2	2	1
5359.915164369035	3	3	2	2
5375.185577942736	3	3	3	3
