Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69649062819934b97c3e832b - minikube	Unknown Heuristic - Run None (Profile ?) 69649062819934b97c3e832b - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69649062819934b97c3e832b - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69649062819934b97c3e832b - minikube-m04
1095.3826889967131	4	4	4	4
1108.9059320707465	1	1	1	1
1122.4291751447802	1	1	1	1
1135.9524182188136	1	1	1	1
1149.4756612928472	1	1	1	1
1162.9989043668807	1	1	1	1
1176.522147440914	4	4	4	4
1190.0453905149475	1	1	1	1
1203.568633588981	1	1	1	1
1217.0918766630145	1	1	1	1
1230.6151197370482	1	1	1	1
1244.1383628110816	1	1	1	1
1257.661605885115	4	4	4	4
1271.1848489591484	1	1	1	1
1284.708092033182	1	1	1	1
1298.2313351072155	1	1	1	1
1311.754578181249	1	1	1	1
1325.2778212552826	1	1	1	1
1338.801064329316	4	4	4	4
1352.3243074033494	1	1	1	1
1365.8475504773828	1	1	1	1
1379.3707935514167	1	1	1	1
1392.89403662545	1	1	1	1
1406.4172796994835	1	1	1	1
1419.940522773517	4	4	4	4
1433.4637658475506	1	1	1	1
1446.987008921584	1	1	1	1
1460.5102519956174	1	1	1	1
1474.0334950696508	1	1	1	1
1487.5567381436842	1	1	1	1
1501.079981217718	4	4	4	4
1514.6032242917515	1	1	1	1
1528.126467365785	1	1	1	1
1541.6497104398186	1	1	1	1
1555.172953513852	1	1	1	1
1568.6961965878854	1	1	1	1
1582.2194396619188	4	4	4	4
1595.7426827359523	1	1	1	1
1609.265925809986	1	1	1	1
1622.7891688840193	1	1	1	1
1636.3124119580527	1	1	1	1
1649.8356550320866	1	1	1	1
1663.35889810612	4	4	4	4
1676.8821411801534	1	1	1	1
1690.4053842541869	1	1	1	1
1703.9286273282203	1	1	1	1
1717.451870402254	1	1	1	1
1730.9751134762873	1	1	1	1
1744.4983565503208	4	4	4	4
1758.0215996243542	1	1	1	1
1771.544842698388	1	1	1	1
1785.0680857724215	1	1	1	1
1798.5913288464549	1	1	1	1
1812.1145719204883	1	1	1	1
1825.637814994522	4	4	4	4
1839.1610580685553	1	1	1	1
1852.6843011425888	1	1	1	1
1866.2075442166222	1	1	1	1
1879.7307872906558	1	1	1	1
1893.2540303646892	1	1	1	1
1906.777273438723	4	4	4	4
1920.3005165127563	1	1	1	1
1933.82375958679	1	1	1	1
1947.3470026608234	1	1	1	1
1960.8702457348568	1	1	1	1
1974.3934888088902	1	1	1	1
1987.9167318829236	4	4	4	4
2001.4399749569573	1	1	1	1
2014.9632180309907	1	1	1	1
2028.486461105024	1	1	1	1
2042.009704179058	1	1	1	1
2055.532947253091	1	1	1	1
2069.056190327125	4	4	4	4
2082.5794334011584	1	1	1	1
2096.102676475192	1	1	1	1
2109.6259195492253	1	1	1	1
2123.1491626232587	1	1	1	1
2136.672405697292	1	1	1	1
2150.1956487713255	4	4	4	4
2163.7188918453594	1	1	1	1
2177.242134919393	1	1	1	1
2190.7653779934262	1	1	1	1
2204.2886210674596	1	1	1	1
2217.811864141493	1	1	1	1
2231.3351072155265	4	4	4	4
2244.8583502895603	1	1	1	1
2258.3815933635938	1	1	1	1
2271.904836437627	1	1	1	1
2285.4280795116606	1	1	1	1
2298.9513225856945	1	1	1	1
2312.474565659728	4	4	4	4
2325.9978087337613	1	1	1	1
2339.5210518077947	1	1	1	1
2353.044294881828	1	1	1	1
2366.5675379558616	1	1	1	1
2380.090781029895	1	1	1	1
2393.6140241039284	4	4	4	4
2407.137267177962	1	1	1	1
2420.6605102519957	1	1	1	1
2434.183753326029	1	1	1	1
2447.7069964000625	1	1	1	1
2461.2302394740964	1	1	1	1
2474.75348254813	4	4	4	4
2488.276725622163	1	1	1	1
2501.7999686961966	1	1	1	1
2515.32321177023	1	1	1	1
2528.8464548442635	1	1	1	1
2542.369697918297	1	1	1	1
2555.8929409923303	4	4	4	4
