Relative Time (Process)	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m02	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m03	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m04
2288.9438361003176	3	3	3	3
2299.1169198163193	3	3	3	3
2309.290003532321	3	3	3	3
2319.463087248322	3	3	2	2
2329.6361709643234	3	3	3	3
2339.809254680325	3	3	3	3
2349.982338396326	3	3	3	3
2360.155422112328	3	3	3	3
2370.3285058283295	3	3	3	3
2380.5015895443307	3	3	2	2
2390.674673260332	3	3	3	3
2400.847756976333	3	3	3	3
2411.020840692335	3	3	3	3
2421.1939244083364	3	3	3	3
2431.3670081243376	3	3	3	3
2441.540091840339	3	3	2	2
2451.7131755563405	3	3	3	3
2461.8862592723417	3	3	3	3
2472.0593429883434	3	3	3	3
2482.232426704345	3	3	3	3
2492.405510420346	3	3	3	3
2502.5785941363474	3	3	2	2
2512.751677852349	3	3	3	3
2522.9247615683503	3	3	3	3
2533.097845284352	3	3	3	3
2543.270929000353	3	3	3	3
2553.444012716355	3	3	3	3
2563.617096432356	3	3	2	2
2573.7901801483576	3	3	3	3
2583.963263864359	3	3	3	3
2594.1363475803605	3	3	3	3
2604.3094312963617	3	3	3	3
2614.482515012363	3	3	3	3
2624.6555987283646	3	3	2	2
2634.828682444366	3	3	3	3
2645.0017661603674	3	3	3	3
2655.1748498763686	3	3	3	3
2665.3479335923703	3	3	3	3
2675.5210173083715	3	3	3	3
2685.694101024373	3	3	2	2
2695.8671847403743	3	3	3	3
2706.040268456376	3	3	3	3
2716.2133521723767	3	3	3	3
2726.3864358883784	3	3	3	3
2736.55951960438	3	3	3	3
2746.7326033203813	3	3	2	2
2756.905687036383	3	3	3	3
2767.0787707523846	3	3	3	3
2777.2518544683853	3	3	3	3
2787.424938184387	3	3	3	3
2797.5980219003886	3	3	3	3
2807.77110561639	3	3	2	2
2817.9441893323915	3	3	3	3
2828.117273048393	3	3	3	3
2838.290356764394	3	3	3	3
2848.4634404803955	3	3	3	3
2858.6365241963967	3	3	3	3
2868.8096079123984	3	3	2	2
2878.9826916284	3	3	3	3
2889.1557753444013	3	3	3	3
2899.328859060403	3	3	3	3
2909.501942776404	3	3	3	3
2919.6750264924053	3	3	3	3
2929.848110208407	3	3	2	2
2940.0211939244086	3	3	3	3
2950.19427764041	3	3	3	3
2960.3673613564115	3	3	3	3
2970.5404450724122	3	3	3	3
2980.713528788414	3	3	3	3
2990.8866125044156	3	3	2	2
3001.0596962204168	3	3	3	3
3011.2327799364184	3	3	3	3
3021.40586365242	3	3	3	3
3031.578947368421	3	3	3	3
3041.7520310844225	3	3	3	3
3051.925114800424	3	3	2	2
3062.0981985164253	3	3	3	3
3072.271282232427	3	3	3	3
3082.4443659484277	3	3	3	3
3092.6174496644294	3	3	3	3
3102.790533380431	3	3	3	3
3112.9636170964322	3	3	2	2
3123.136700812434	3	3	3	3
3133.3097845284356	3	3	3	3
3143.4828682444363	3	3	3	3
3153.655951960438	3	3	3	3
3163.8290356764396	3	3	3	3
3174.002119392441	3	3	2	2
3184.1752031084425	3	3	3	3
3194.348286824443	3	3	3	3
3204.521370540445	3	3	3	3
3214.6944542564465	3	3	3	3
3224.8675379724477	3	3	3	3
3235.0406216884494	3	3	2	2
3245.213705404451	3	3	3	3
3255.386789120452	3	3	3	3
3265.5598728364535	3	3	3	3
3275.732956552455	3	3	3	3
3285.9060402684563	3	3	3	3
3296.079123984458	3	3	2	2
3306.2522077004596	3	3	3	3
3316.4252914164604	3	3	3	3
3326.598375132462	3	3	3	3
3336.771458848463	3	3	3	3
3346.944542564465	3	3	3	3
3357.1176262804665	3	3	2	2
3367.2907099964673	3	3	3	3
3377.463793712469	3	3	3	3
3387.6368774284706	3	3	3	3
3397.809961144472	3	3	3	3
3407.9830448604735	3	3	3	3
3418.156128576475	3	3	2	2
3428.329212292476	3	3	3	3
3438.5022960084775	3	3	3	3
3448.6753797244787	3	3	3	3
3458.8484634404804	3	3	3	3
3469.021547156482	3	3	3	3
3479.194630872483	3	3	2	2
3489.3677145884844	3	3	3	3
3499.540798304486	3	3	3	3
3509.7138820204873	3	3	3	3
3519.886965736489	3	3	3	3
3530.0600494524906	3	3	3	3
3540.2331331684913	3	3	2	2
3550.406216884493	3	3	3	3
3560.579300600494	3	3	3	3
3570.752384316496	3	3	3	3
3580.9254680324975	3	3	3	3
3591.0985517484987	3	3	3	3
3601.2716354645004	3	3	2	2
3611.4447191805016	3	3	3	3
3621.617802896503	3	3	3	3
3631.7908866125044	3	3	3	3
3641.963970328506	3	3	3	3
3652.1370540445073	3	3	3	3
3662.310137760509	3	3	2	2
3672.48322147651	3	3	3	3
3682.6563051925114	3	3	3	3
3692.829388908513	3	3	3	3
3703.002472624514	3	3	3	3
3713.175556340516	3	3	3	3
3723.3486400565175	3	3	2	2
3733.5217237725183	3	3	3	3
3743.69480748852	3	3	3	3
3753.8678912045216	3	3	3	3
3764.040974920523	3	3	3	3
3774.2140586365244	3	3	3	3
3784.387142352526	3	3	2	2
3794.560226068527	3	3	3	3
3804.7333097845285	3	3	3	3
3814.9063935005297	3	3	3	3
3825.0794772165314	3	3	3	3
3835.252560932533	3	3	3	3
3845.4256446485338	3	3	2	2
3855.5987283645354	3	3	3	3
3865.771812080537	3	3	3	3
3875.9448957965383	3	3	3	3
3886.11797951254	3	3	3	3
3896.2910632285416	3	3	3	3
3906.4641469445423	3	3	2	2
3916.637230660544	3	3	3	3
3926.810314376545	3	3	3	3
3936.983398092547	3	3	3	3
3947.1564818085485	3	3	3	3
3957.3295655245493	3	3	3	3
3967.502649240551	3	3	2	2
3977.6757329565526	3	3	3	3
3987.8488166725538	3	3	3	3
3998.0219003885554	3	3	3	3
4008.194984104557	3	3	3	3
4018.368067820558	3	3	3	3
4028.5411515365595	3	3	2	2
4038.7142352525607	3	3	3	3
4048.8873189685623	3	3	3	3
4059.060402684564	3	3	3	3
4069.2334864005647	3	3	3	3
4079.4065701165664	3	3	3	3
4089.579653832568	3	3	2	2
4099.752737548569	3	3	3	3
4109.925821264571	3	3	3	3
4120.098904980572	3	3	3	3
4130.271988696573	3	3	3	3
4140.445072412575	3	3	3	3
4150.618156128577	3	3	2	2
4160.791239844578	3	3	3	3
4170.964323560579	3	3	3	3
4181.13740727658	3	3	3	3
4191.310490992582	3	3	3	3
4201.483574708584	3	3	3	3
4211.656658424585	3	3	2	2
4221.829742140586	3	3	3	3
4232.002825856588	3	3	3	3
4242.175909572589	3	3	3	3
4252.3489932885905	3	3	3	3
4262.522077004593	3	3	3	3
4272.695160720594	3	3	2	2
4282.868244436595	3	3	3	3
4293.041328152596	3	3	3	3
4303.214411868597	3	3	3	3
4313.3874955845995	3	3	3	3
4323.560579300601	3	3	3	3
4333.733663016602	3	3	2	2
4343.906746732603	3	3	3	3
4354.079830448604	3	3	3	3
4364.252914164606	3	3	3	3
4374.425997880608	3	3	3	3
4384.599081596609	3	3	3	3
4394.772165312611	3	3	2	2
4404.945249028611	3	3	3	3
4415.118332744613	3	3	3	3
4425.2914164606145	3	3	3	3
4435.464500176616	3	3	3	3
4445.637583892618	3	3	3	3
