Relative Time (Process)	Static Heuristic - Run None (Profile ?) 69610c7d8c0f63fb515b69c8 - minikube	Static Heuristic - Run None (Profile ?) 69610c7d8c0f63fb515b69c8 - minikube-m02	Static Heuristic - Run None (Profile ?) 69610c7d8c0f63fb515b69c8 - minikube-m03	Static Heuristic - Run None (Profile ?) 69610c7d8c0f63fb515b69c8 - minikube-m04
6915.283220520128	3	3	3	3
6925.543284645529	3	3	3	3
6935.80334877093	3	3	3	3
6946.06341289633	3	3	3	3
6956.323477021731	3	3	2	2
6966.583541147133	3	3	3	3
6976.843605272533	3	3	3	3
6987.103669397934	3	3	3	3
6997.363733523334	3	3	3	3
7007.6237976487355	3	3	3	3
7017.883861774136	3	3	2	2
7028.143925899537	3	3	3	3
7038.403990024938	3	3	3	3
7048.664054150338	3	3	3	3
7058.924118275739	3	3	3	3
7069.18418240114	3	3	3	3
7079.444246526541	3	3	2	2
7089.704310651942	3	3	3	3
7099.9643747773425	3	3	3	3
7110.224438902743	3	3	3	3
7120.484503028144	3	3	3	3
7130.744567153545	3	3	3	3
7141.004631278946	3	3	2	2
7151.264695404346	3	3	3	3
7161.524759529747	3	3	3	3
7171.784823655148	3	3	3	3
7182.044887780549	3	3	3	3
7192.30495190595	3	3	3	3
7202.56501603135	3	3	2	2
7212.825080156751	3	3	3	3
7223.085144282152	3	3	3	3
7233.345208407553	3	3	3	3
7243.605272532953	3	3	3	3
7253.865336658354	3	3	3	3
7264.125400783755	3	3	2	2
7274.385464909156	3	3	3	3
7284.645529034556	3	3	3	3
7294.905593159957	3	3	3	3
7305.165657285358	3	3	3	3
7315.425721410759	3	3	3	3
7325.68578553616	3	3	2	2
7335.94584966156	3	3	3	3
7346.205913786961	3	3	3	3
7356.465977912362	3	3	3	3
7366.726042037763	3	3	3	3
7376.986106163163	3	3	3	3
7387.246170288564	3	3	2	2
7397.506234413965	3	3	3	3
7407.766298539366	3	3	3	3
7418.026362664766	3	3	3	3
7428.286426790167	3	3	3	3
7438.546490915568	3	3	3	3
7448.806555040969	3	3	2	2
7459.06661916637	3	3	3	3
7469.32668329177	3	3	3	3
7479.586747417171	3	3	3	3
7489.846811542572	3	3	3	3
7500.106875667973	3	3	3	3
7510.366939793374	3	3	2	2
7520.627003918774	3	3	3	3
7530.887068044175	3	3	3	3
7541.147132169576	3	3	3	3
7551.4071962949765	3	3	3	3
7561.667260420378	3	3	3	3
7571.927324545778	3	3	2	2
7582.187388671179	3	3	3	3
7592.44745279658	3	3	3	3
7602.707516921981	3	3	3	3
7612.967581047382	3	3	3	3
7623.227645172782	3	3	3	3
7633.487709298183	3	3	2	2
7643.747773423584	3	3	3	3
7654.007837548985	3	3	3	3
7664.267901674386	3	3	3	3
7674.527965799786	3	3	3	3
7684.788029925187	3	3	3	3
7695.048094050588	3	3	2	2
7705.308158175989	3	3	3	3
7715.568222301389	3	3	3	3
7725.82828642679	3	3	3	3
7736.088350552191	3	3	3	3
7746.348414677592	3	3	3	3
7756.608478802993	3	3	2	2
7766.868542928393	3	3	3	3
7777.1286070537935	3	3	3	3
7787.388671179195	3	3	3	3
7797.648735304596	3	3	3	3
7807.908799429997	3	3	3	3
7818.168863555397	3	3	2	2
7828.428927680798	3	3	3	3
7838.688991806199	3	3	3	3
7848.9490559316	3	3	3	3
7859.209120057001	3	3	3	3
7869.469184182401	3	3	3	3
7879.729248307802	3	3	2	2
7889.989312433203	3	3	3	3
7900.249376558604	3	3	3	3
7910.5094406840035	3	3	3	3
7920.769504809405	3	3	3	3
7931.029568934806	3	3	3	3
7941.289633060207	3	3	2	2
7951.549697185608	3	3	3	3
7961.809761311008	3	3	3	3
7972.069825436409	3	3	3	3
7982.32988956181	3	3	3	3
7992.589953687211	3	3	3	3
8002.8500178126105	3	3	2	2
8013.110081938012	3	3	3	3
8023.370146063413	3	3	3	3
8033.630210188814	3	3	3	3
8043.890274314215	3	3	3	3
8054.150338439615	3	3	3	3
8064.410402565016	3	3	2	2
8074.670466690417	3	3	3	3
8084.930530815818	3	3	3	3
8095.190594941218	3	3	3	3
8105.450659066619	3	3	3	3
8115.71072319202	3	3	3	3
8125.970787317421	3	3	2	2
8136.230851442821	3	3	3	3
8146.490915568222	3	3	3	3
8156.750979693623	3	3	3	3
8167.011043819024	3	3	3	3
8177.271107944425	3	3	3	3
8187.5311720698255	3	3	2	2
8197.791236195226	3	3	3	3
8208.051300320627	3	3	3	3
8218.311364446028	3	3	3	3
8228.571428571428	3	3	3	3
8238.831492696829	3	3	3	3
8249.09155682223	3	3	2	2
8259.351620947631	3	3	3	3
8269.61168507303	3	3	3	3
8279.871749198432	3	3	3	3
8290.131813323833	3	3	3	3
8300.391877449234	3	3	3	3
8310.651941574635	3	3	2	2
8320.912005700035	3	3	3	3
8331.172069825436	3	3	3	3
8341.432133950837	3	3	3	3
8351.692198076238	3	3	3	3
8361.952262201637	3	3	3	3
8372.212326327039	3	3	2	2
8382.47239045244	3	3	3	3
8392.732454577841	3	3	3	3
8402.99251870324	3	3	3	3
8413.252582828642	3	3	3	3
8423.512646954043	3	3	3	3
8433.772711079444	3	3	2	2
8444.032775204845	3	3	3	3
8454.292839330245	3	3	3	3
8464.552903455646	3	3	3	3
8474.812967581047	3	3	3	3
8485.073031706448	3	3	3	3
8495.33309583185	3	3	2	2
8505.593159957249	3	3	3	3
8515.85322408265	3	3	3	3
8526.113288208051	3	3	3	3
8536.373352333452	3	3	3	3
8546.633416458853	3	3	3	3
8556.893480584253	3	3	2	2
8567.153544709654	3	3	3	3
8577.413608835055	3	3	3	3
8587.673672960456	3	3	3	3
