Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m04
1642.6389340266494	4	4	4	4
1656.6785830354243	1	1	1	1
1670.7182320441989	1	1	1	1
1684.7578810529737	1	1	1	1
1698.7975300617486	1	1	1	1
1712.8371790705232	1	1	1	1
1726.876828079298	4	4	4	4
1740.916477088073	1	1	1	1
1754.9561260968474	1	1	1	1
1768.9957751056222	1	1	1	1
1783.035424114397	1	1	1	1
1797.075073123172	1	1	1	1
1811.1147221319466	4	4	4	4
1825.1543711407214	1	1	1	1
1839.1940201494963	1	1	1	1
1853.233669158271	1	1	1	1
1867.2733181670458	1	1	1	1
1881.3129671758206	1	1	1	1
1895.3526161845955	4	4	4	4
1909.3922651933701	1	1	1	1
1923.431914202145	1	1	1	1
1937.4715632109198	1	1	1	1
1951.5112122196945	1	1	1	1
1965.5508612284693	1	1	1	1
1979.5905102372442	4	4	4	4
1993.630159246019	1	1	1	1
2007.6698082547935	1	1	1	1
2021.7094572635685	1	1	1	1
2035.7491062723434	1	1	1	1
2049.788755281118	1	1	1	1
2063.8284042898927	4	4	4	4
2077.8680532986677	1	1	1	1
2091.9077023074424	1	1	1	1
2105.947351316217	1	1	1	1
2119.987000324992	1	1	1	1
2134.0266493337667	1	1	1	1
2148.0662983425414	4	4	4	4
2162.105947351316	1	1	1	1
2176.145596360091	1	1	1	1
2190.1852453688657	1	1	1	1
2204.2248943776403	1	1	1	1
2218.2645433864154	1	1	1	1
2232.30419239519	4	4	4	4
2246.3438414039647	1	1	1	1
2260.38349041274	1	1	1	1
2274.4231394215144	1	1	1	1
2288.462788430289	1	1	1	1
2302.502437439064	1	1	1	1
2316.5420864478388	4	4	4	4
2330.581735456614	1	1	1	1
2344.6213844653885	1	1	1	1
2358.661033474163	1	1	1	1
2372.700682482938	1	1	1	1
2386.740331491713	1	1	1	1
2400.7799805004875	4	4	4	4
2414.8196295092625	1	1	1	1
2428.8592785180367	1	1	1	1
2442.898927526812	1	1	1	1
2456.9385765355864	1	1	1	1
2470.9782255443615	1	1	1	1
2485.017874553136	4	4	4	4
2499.057523561911	1	1	1	1
2513.097172570686	1	1	1	1
2527.1368215794605	1	1	1	1
2541.176470588235	1	1	1	1
2555.21611959701	1	1	1	1
2569.255768605785	4	4	4	4
2583.2954176145595	1	1	1	1
2597.3350666233346	1	1	1	1
2611.374715632109	1	1	1	1
2625.414364640884	1	1	1	1
2639.454013649659	1	1	1	1
2653.4936626584335	4	4	4	4
2667.533311667208	1	1	1	1
2681.5729606759833	1	1	1	1
2695.612609684758	1	1	1	1
2709.6522586935325	1	1	1	1
2723.6919077023076	1	1	1	1
2737.7315567110822	4	4	4	4
2751.771205719857	1	1	1	1
2765.810854728632	1	1	1	1
2779.8505037374066	1	1	1	1
