Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m04
1516.0312649545383	1	1	1	1
1529.8133673632158	4	4	4	4
1543.5954697718935	1	1	1	1
1557.3775721805712	1	1	1	1
1571.1596745892487	1	1	1	1
1584.9417769979264	1	1	1	1
1598.7238794066038	1	1	1	1
1612.5059818152815	4	4	4	4
1626.288084223959	1	1	1	1
1640.0701866326367	1	1	1	1
1653.8522890413142	1	1	1	1
1667.634391449992	1	1	1	1
1681.4164938586698	1	1	1	1
1695.1985962673473	4	4	4	4
1708.980698676025	1	1	1	1
1722.7628010847025	1	1	1	1
1736.5449034933802	1	1	1	1
1750.3270059020579	1	1	1	1
1764.1091083107353	1	1	1	1
1777.891210719413	4	4	4	4
1791.6733131280905	1	1	1	1
1805.4554155367682	1	1	1	1
1819.2375179454457	1	1	1	1
1833.0196203541234	1	1	1	1
1846.8017227628009	1	1	1	1
1860.5838251714786	4	4	4	4
1874.3659275801565	1	1	1	1
1888.148029988834	1	1	1	1
1901.9301323975117	1	1	1	1
1915.7122348061891	1	1	1	1
1929.4943372148668	1	1	1	1
1943.2764396235445	4	4	4	4
1957.058542032222	1	1	1	1
1970.8406444408997	1	1	1	1
1984.6227468495772	1	1	1	1
1998.404849258255	1	1	1	1
2012.1869516669324	1	1	1	1
2025.96905407561	4	4	4	4
2039.7511564842875	1	1	1	1
2053.533258892965	1	1	1	1
2067.315361301643	1	1	1	1
2081.097463710321	1	1	1	1
2094.8795661189984	1	1	1	1
2108.661668527676	4	4	4	4
2122.4437709363538	1	1	1	1
2136.2258733450312	1	1	1	1
2150.0079757537087	1	1	1	1
2163.790078162386	1	1	1	1
2177.572180571064	1	1	1	1
2191.3542829797416	4	4	4	4
2205.136385388419	1	1	1	1
2218.9184877970965	1	1	1	1
2232.7005902057745	1	1	1	1
2246.482692614452	1	1	1	1
2260.26479502313	1	1	1	1
2274.0468974318073	4	4	4	4
2287.828999840485	1	1	1	1
2301.6111022491627	1	1	1	1
2315.39320465784	1	1	1	1
2329.1753070665177	1	1	1	1
2342.9574094751956	1	1	1	1
2356.739511883873	4	4	4	4
2370.5216142925506	1	1	1	1
2384.303716701228	1	1	1	1
2398.085819109906	1	1	1	1
2411.8679215185834	1	1	1	1
2425.650023927261	1	1	1	1
2439.4321263359384	4	4	4	4
2453.2142287446163	1	1	1	1
2466.9963311532942	1	1	1	1
2480.7784335619717	1	1	1	1
2494.560535970649	1	1	1	1
2508.342638379327	1	1	1	1
2522.1247407880046	4	4	4	4
2535.906843196682	1	1	1	1
2549.6889456053595	1	1	1	1
2563.4710480140375	1	1	1	1
2577.253150422715	1	1	1	1
2591.0352528313924	1	1	1	1
2604.81735524007	4	4	4	4
2618.599457648748	1	1	1	1
2632.3815600574253	1	1	1	1
2646.1636624661032	1	1	1	1
2659.9457648747807	1	1	1	1
2673.727867283458	1	1	1	1
2687.509969692136	4	4	4	4
2701.2920721008136	1	1	1	1
2715.074174509491	1	1	1	1
2728.856276918169	1	1	1	1
2742.638379326846	1	1	1	1
2756.420481735524	1	1	1	1
2770.202584144202	4	4	4	4
2783.9846865528793	1	1	1	1
2797.7667889615573	1	1	1	1
2811.5488913702343	1	1	1	1
2825.330993778912	1	1	1	1
2839.1130961875897	1	1	1	1
2852.8951985962676	4	4	4	4
2866.6773010049446	1	1	1	1
2880.4594034136226	1	1	1	1
2894.2415058223	1	1	1	1
2908.023608230978	1	1	1	1
2921.805710639655	1	1	1	1
2935.587813048333	4	4	4	4
2949.369915457011	1	1	1	1
2963.1520178656883	1	1	1	1
2976.9341202743663	1	1	1	1
2990.7162226830433	1	1	1	1
3004.498325091721	1	1	1	1
3018.2804275003987	4	4	4	4
3032.0625299090766	1	1	1	1
3045.844632317754	1	1	1	1
3059.6267347264316	1	1	1	1
3073.408837135109	1	1	1	1
3087.190939543787	1	1	1	1
3100.9730419524644	4	4	4	4
3114.7551443611424	1	1	1	1
3128.5372467698194	1	1	1	1
3142.3193491784973	1	1	1	1
3156.1014515871752	1	1	1	1
3169.8835539958527	1	1	1	1
3183.6656564045306	4	4	4	4
3197.4477588132077	1	1	1	1
3211.2298612218856	1	1	1	1
3225.011963630563	1	1	1	1
3238.794066039241	1	1	1	1
3252.576168447918	1	1	1	1
3266.358270856596	4	4	4	4
3280.1403732652734	1	1	1	1
3293.9224756739513	1	1	1	1
