Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m04
2514.903769683474	4	4	4	4
2528.646413233657	1	1	1	1
2542.38905678384	1	1	1	1
2556.1317003340223	1	1	1	1
2569.8743438842057	1	1	1	1
2583.6169874343886	1	1	1	1
2597.359630984571	4	4	4	4
2611.102274534754	1	1	1	1
2624.8449180849375	1	1	1	1
2638.58756163512	1	1	1	1
2652.330205185303	1	1	1	1
2666.072848735486	1	1	1	1
2679.815492285669	4	4	4	4
2693.5581358358518	1	1	1	1
2707.300779386035	1	1	1	1
2721.0434229362177	1	1	1	1
2734.7860664864006	1	1	1	1
2748.5287100365836	1	1	1	1
2762.2713535867665	4	4	4	4
2776.013997136949	1	1	1	1
2789.756640687132	1	1	1	1
2803.499284237315	1	1	1	1
2817.241927787498	1	1	1	1
2830.9845713376812	1	1	1	1
2844.727214887864	4	4	4	4
2858.4698584380467	1	1	1	1
2872.2125019882296	1	1	1	1
2885.9551455384126	1	1	1	1
2899.6977890885955	1	1	1	1
2913.440432638778	1	1	1	1
2927.183076188961	4	4	4	4
2940.9257197391444	1	1	1	1
2954.6683632893273	1	1	1	1
2968.4110068395103	1	1	1	1
2982.153650389693	1	1	1	1
2995.8962939398757	1	1	1	1
3009.6389374900587	4	4	4	4
3023.3815810402416	1	1	1	1
3037.1242245904245	1	1	1	1
3050.866868140608	1	1	1	1
3064.609511690791	1	1	1	1
3078.3521552409734	1	1	1	1
3092.0947987911563	4	4	4	4
3105.8374423413393	1	1	1	1
3119.5800858915222	1	1	1	1
3133.3227294417047	1	1	1	1
3147.0653729918877	1	1	1	1
3160.808016542071	1	1	1	1
3174.550660092254	4	4	4	4
3188.293303642437	1	1	1	1
3202.03594719262	1	1	1	1
3215.7785907428024	1	1	1	1
3229.5212342929854	1	1	1	1
3243.2638778431683	1	1	1	1
3257.0065213933512	4	4	4	4
3270.7491649435347	1	1	1	1
3284.491808493717	1	1	1	1
3298.2344520439	1	1	1	1
3311.977095594083	1	1	1	1
3325.719739144266	1	1	1	1
3339.462382694449	4	4	4	4
3353.2050262446314	1	1	1	1
3366.9476697948144	1	1	1	1
3380.690313344998	1	1	1	1
3394.4329568951807	1	1	1	1
3408.1756004453637	1	1	1	1
3421.918243995546	4	4	4	4
3435.660887545729	1	1	1	1
3449.403531095912	1	1	1	1
3463.146174646095	1	1	1	1
3476.888818196278	1	1	1	1
3490.6314617464614	1	1	1	1
3504.374105296644	4	4	4	4
3518.116748846827	1	1	1	1
3531.8593923970097	1	1	1	1
3545.6020359471927	1	1	1	1
3559.344679497375	1	1	1	1
3573.087323047558	1	1	1	1
3586.829966597741	4	4	4	4
3600.5726101479245	1	1	1	1
3614.3152536981074	1	1	1	1
3628.0578972482904	1	1	1	1
3641.800540798473	1	1	1	1
3655.543184348656	1	1	1	1
3669.2858278988388	4	4	4	4
3683.0284714490217	1	1	1	1
3696.7711149992047	1	1	1	1
3710.513758549388	1	1	1	1
3724.2564020995706	1	1	1	1
3737.9990456497535	1	1	1	1
3751.7416891999364	4	4	4	4
3765.4843327501194	1	1	1	1
3779.226976300302	1	1	1	1
3792.969619850485	1	1	1	1
3806.712263400668	1	1	1	1
3820.454906950851	1	1	1	1
3834.197550501034	4	4	4	4
3847.940194051217	1	1	1	1
3861.6828376013996	1	1	1	1
3875.4254811515825	1	1	1	1
3889.1681247017655	1	1	1	1
3902.9107682519484	1	1	1	1
3916.653411802131	4	4	4	4
3930.3960553523148	1	1	1	1
3944.1386989024973	1	1	1	1
3957.88134245268	1	1	1	1
3971.623986002863	1	1	1	1
3985.366629553046	1	1	1	1
3999.1092731032286	4	4	4	4
4012.8519166534115	1	1	1	1
4026.5945602035945	1	1	1	1
4040.337203753778	1	1	1	1
4054.079847303961	1	1	1	1
4067.822490854144	1	1	1	1
4081.5651344043263	4	4	4	4
4095.307777954509	1	1	1	1
4109.050421504692	1	1	1	1
4122.793065054875	1	1	1	1
4136.535708605058	1	1	1	1
4150.278352155241	1	1	1	1
4164.020995705424	4	4	4	4
4177.763639255607	1	1	1	1
4191.50628280579	1	1	1	1
4205.248926355973	1	1	1	1
4218.991569906156	1	1	1	1
4232.734213456339	1	1	1	1
4246.476857006521	4	4	4	4
4260.219500556705	1	1	1	1
4273.9621441068875	1	1	1	1
4287.7047876570705	1	1	1	1
4301.447431207253	1	1	1	1
4315.190074757436	1	1	1	1
4328.932718307618	4	4	4	4
4342.675361857801	1	1	1	1
4356.418005407984	1	1	1	1
4370.160648958168	1	1	1	1
4383.903292508351	1	1	1	1
4397.645936058533	1	1	1	1
4411.388579608716	4	4	4	4
4425.131223158899	1	1	1	1
4438.873866709082	1	1	1	1
4452.616510259265	1	1	1	1
4466.359153809448	1	1	1	1
4480.101797359631	1	1	1	1
4493.844440909814	4	4	4	4
4507.587084459997	1	1	1	1
4521.32972801018	1	1	1	1
4535.072371560363	1	1	1	1
4548.815015110546	1	1	1	1
4562.5576586607285	1	1	1	1
4576.3003022109115	4	4	4	4
4590.042945761094	1	1	1	1
4603.785589311277	1	1	1	1
4617.52823286146	1	1	1	1
4631.270876411643	1	1	1	1
4645.013519961826	1	1	1	1
4658.756163512009	4	4	4	4
4672.498807062192	1	1	1	1
4686.241450612374	1	1	1	1
4699.984094162558	1	1	1	1
4713.726737712741	1	1	1	1
4727.469381262924	1	1	1	1
4741.212024813107	4	4	4	4
4754.954668363289	1	1	1	1
4768.697311913472	1	1	1	1
4782.439955463655	1	1	1	1
4796.182599013838	1	1	1	1
4809.925242564022	1	1	1	1
4823.6678861142045	4	4	4	4
4837.410529664387	1	1	1	1
4851.1531732145695	1	1	1	1
4864.895816764752	1	1	1	1
4878.638460314935	1	1	1	1
4892.381103865118	1	1	1	1
4906.123747415301	4	4	4	4
4919.866390965484	1	1	1	1
4933.609034515667	1	1	1	1
4947.35167806585	1	1	1	1
4961.094321616033	1	1	1	1
4974.836965166216	1	1	1	1
4988.579608716399	4	4	4	4
5002.322252266582	1	1	1	1
5016.064895816765	1	1	1	1
5029.807539366948	1	1	1	1
5043.550182917131	1	1	1	1
5057.292826467314	1	1	1	1
5071.035470017497	4	4	4	4
5084.77811356768	1	1	1	1
5098.520757117863	1	1	1	1
5112.263400668045	1	1	1	1
5126.0060442182275	1	1	1	1
5139.748687768411	1	1	1	1
5153.491331318594	4	4	4	4
5167.233974868777	1	1	1	1
5180.97661841896	1	1	1	1
5194.719261969142	1	1	1	1
5208.461905519325	1	1	1	1
5222.204549069508	1	1	1	1
5235.947192619691	4	4	4	4
5249.689836169875	1	1	1	1
5263.432479720058	1	1	1	1
5277.17512327024	1	1	1	1
5290.917766820423	1	1	1	1
5304.660410370606	1	1	1	1
5318.403053920789	4	4	4	4
5332.145697470972	1	1	1	1
5345.888341021155	1	1	1	1
5359.630984571338	1	1	1	1
5373.373628121521	1	1	1	1
5387.1162716717035	1	1	1	1
5400.858915221886	4	4	4	4
5414.60155877207	1	1	1	1
5428.344202322252	1	1	1	1
5442.086845872435	1	1	1	1
5455.829489422618	1	1	1	1
5469.572132972801	1	1	1	1
5483.314776522984	4	4	4	4
5497.057420073167	1	1	1	1
5510.80006362335	1	1	1	1
5524.542707173533	1	1	1	1
5538.285350723716	1	1	1	1
5552.027994273898	1	1	1	1
5565.770637824081	4	4	4	4
5579.513281374264	1	1	1	1
5593.255924924447	1	1	1	1
5606.99856847463	1	1	1	1
5620.741212024813	1	1	1	1
5634.483855574996	1	1	1	1
5648.2264991251795	4	4	4	4
5661.9691426753625	1	1	1	1
5675.711786225545	1	1	1	1
5689.454429775728	1	1	1	1
5703.19707332591	1	1	1	1
5716.939716876093	1	1	1	1
5730.682360426276	4	4	4	4
5744.425003976459	1	1	1	1
5758.167647526642	1	1	1	1
5771.910291076825	1	1	1	1
5785.652934627008	1	1	1	1
5799.395578177191	1	1	1	1
5813.138221727374	4	4	4	4
5826.880865277556	1	1	1	1
5840.623508827739	1	1	1	1
5854.366152377922	1	1	1	1
5868.108795928106	1	1	1	1
5881.851439478289	1	1	1	1
5895.594083028472	4	4	4	4
5909.336726578655	1	1	1	1
5923.079370128838	1	1	1	1
5936.8220136790205	1	1	1	1
5950.5646572292035	1	1	1	1
5964.307300779386	1	1	1	1
5978.0499443295685	4	4	4	4
5991.792587879751	1	1	1	1
6005.535231429934	1	1	1	1
6019.277874980117	1	1	1	1
6033.0205185303	1	1	1	1
6046.763162080483	1	1	1	1
6060.505805630666	4	4	4	4
6074.248449180849	1	1	1	1
6087.991092731033	1	1	1	1
6101.733736281216	1	1	1	1
6115.476379831399	1	1	1	1
6129.219023381582	1	1	1	1
6142.961666931764	4	4	4	4
6156.704310481947	1	1	1	1
6170.44695403213	1	1	1	1
6184.189597582313	1	1	1	1
6197.932241132496	1	1	1	1
6211.674884682679	1	1	1	1
6225.4175282328615	4	4	4	4
6239.1601717830445	1	1	1	1
6252.9028153332265	1	1	1	1
6266.645458883409	1	1	1	1
6280.388102433592	1	1	1	1
6294.130745983775	1	1	1	1
6307.873389533959	4	4	4	4
6321.616033084142	1	1	1	1
6335.358676634325	1	1	1	1
6349.101320184508	1	1	1	1
6362.843963734691	1	1	1	1
6376.586607284874	1	1	1	1
6390.329250835057	4	4	4	4
6404.07189438524	1	1	1	1
6417.814537935422	1	1	1	1
6431.557181485605	1	1	1	1
6445.299825035788	1	1	1	1
6459.042468585971	1	1	1	1
6472.785112136154	4	4	4	4
6486.527755686337	1	1	1	1
6500.27039923652	1	1	1	1
6514.0130427867025	1	1	1	1
6527.755686336886	1	1	1	1
6541.498329887069	1	1	1	1
6555.240973437252	4	4	4	4
6568.983616987434	1	1	1	1
6582.726260537617	1	1	1	1
6596.4689040878	1	1	1	1
6610.211547637983	1	1	1	1
6623.954191188166	1	1	1	1
