Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m04
1053.2136569918468	4	4	4	4
1063.3936923391916	4	4	4	4
1073.5737276865364	4	4	4	4
1073.7837284157054	4	3	3	3
1083.9737637977726	4	4	4	4
1094.1537991451173	4	4	4	4
1104.333834492462	4	4	4	4
1114.513869839807	4	4	4	4
1124.6939051871518	4	4	4	4
1124.9039059163208	4	3	3	3
1135.1039413331102	4	4	4	4
1145.283976680455	4	4	4	4
1155.4640120277998	4	4	4	4
1165.6440473751447	4	4	4	4
1175.8240827224895	4	4	4	4
1176.0340834516585	4	3	3	3
1186.234118868448	4	4	4	4
1196.4141542157927	4	4	4	4
1206.5941895631374	4	4	4	4
1216.7742249104822	4	4	4	4
1226.9542602578272	4	4	4	4
1227.1642609869962	4	3	3	3
1237.3642964037856	4	4	4	4
1247.5443317511304	4	4	4	4
1257.724367098475	4	4	4	4
1267.9044024458199	4	4	4	4
1278.0844377931649	4	4	4	4
1278.2944385223338	4	3	3	3
1288.4844739044008	4	4	4	4
1298.6645092517456	4	4	4	4
1308.8445445990906	4	4	4	4
1319.0245799464353	4	4	4	4
1329.2046152937799	4	4	4	4
1329.414616022949	4	3	3	3
1339.604651405016	4	4	4	4
1349.7846867523608	4	4	4	4
1359.9647220997056	4	4	4	4
1370.1447574470506	4	4	4	4
1380.3247927943953	4	4	4	4
1380.5347935235643	4	3	3	3
1390.7348289403537	4	4	4	4
1400.9148642876985	4	4	4	4
1411.0948996350432	4	4	4	4
1421.274934982388	4	4	4	4
1431.454970329733	4	4	4	4
1431.664971058902	4	3	3	3
1441.8650064756914	4	4	4	4
1452.0450418230362	4	4	4	4
1462.225077170381	4	4	4	4
1472.4051125177257	4	4	4	4
1482.5851478650707	4	4	4	4
1482.7951485942397	4	3	3	3
1492.995184011029	4	4	4	4
1503.1752193583739	4	4	4	4
1513.3552547057186	4	4	4	4
1523.5352900530634	4	4	4	4
1533.7153254004083	4	4	4	4
1533.9353261642993	4	3	3	3
