Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m04
1237.7099999999784	4	4	4	4
1247.8899999999783	4	4	4	4
1258.069999999978	4	4	4	4
1268.249999999978	4	4	4	4
1278.4299999999778	4	4	4	4
1278.6399999999776	4	3	3	3
1288.8399999999774	4	4	4	4
1299.0199999999772	4	4	4	4
1309.199999999977	4	4	4	4
1319.379999999977	4	4	4	4
1329.5599999999768	4	4	4	4
1329.7699999999766	4	3	3	3
1339.9699999999764	4	4	4	4
1350.1499999999762	4	4	4	4
1360.329999999976	4	4	4	4
1370.509999999976	4	4	4	4
1380.6899999999757	4	4	4	4
1380.8999999999755	4	3	3	3
1391.0899999999754	4	4	4	4
1401.2699999999752	4	4	4	4
1411.449999999975	4	4	4	4
1421.6299999999749	4	4	4	4
1431.8099999999747	4	4	4	4
1432.0199999999745	4	3	3	3
1442.2199999999743	4	4	4	4
1452.3999999999742	4	4	4	4
1462.579999999974	4	4	4	4
1472.7599999999738	4	4	4	4
1482.9399999999737	4	4	4	4
1483.1499999999735	4	3	3	3
1493.3399999999733	4	4	4	4
1503.5199999999732	4	4	4	4
1513.699999999973	4	4	4	4
1523.8799999999728	4	4	4	4
1534.0599999999727	4	4	4	4
1534.2799999999725	4	3	3	3
1544.4699999999723	4	4	4	4
1554.6499999999721	4	4	4	4
1564.829999999972	4	4	4	4
1575.0099999999718	4	4	4	4
1585.1899999999716	4	4	4	4
1585.3999999999714	4	3	3	3
1595.5999999999713	4	4	4	4
1605.779999999971	4	4	4	4
1615.959999999971	4	4	4	4
1626.1399999999708	4	4	4	4
1636.3199999999706	4	4	4	4
1636.5299999999704	4	3	3	3
1646.7299999999702	4	4	4	4
1656.90999999997	4	4	4	4
1667.08999999997	4	4	4	4
1677.2699999999697	4	4	4	4
1687.4499999999696	4	4	4	4
1687.6599999999694	4	3	3	3
1697.8599999999692	4	4	4	4
1708.039999999969	4	4	4	4
1718.2199999999689	4	4	4	4
1728.3999999999687	4	4	4	4
1738.5799999999685	4	4	4	4
1738.7899999999684	4	3	3	3
1748.9899999999682	4	4	4	4
1759.169999999968	4	4	4	4
1769.3499999999678	4	4	4	4
1779.5299999999677	4	4	4	4
1789.7099999999675	4	4	4	4
1789.9199999999673	4	3	3	3
1800.1199999999671	4	4	4	4
1810.299999999967	4	4	4	4
1820.4799999999668	4	4	4	4
1830.6599999999667	4	4	4	4
1840.8399999999665	4	4	4	4
1841.0499999999663	4	3	3	3
1851.2499999999661	4	4	4	4
1861.429999999966	4	4	4	4
1871.6099999999658	4	4	4	4
1881.7899999999656	4	4	4	4
1891.9699999999655	4	4	4	4
1892.1799999999653	4	3	3	3
1902.379999999965	4	4	4	4
1912.559999999965	4	4	4	4
1922.7399999999648	4	4	4	4
1932.9199999999646	4	4	4	4
1943.0999999999644	4	4	4	4
1943.3099999999642	4	3	3	3
1953.509999999964	4	4	4	4
1963.689999999964	4	4	4	4
1973.8699999999637	4	4	4	4
1984.0499999999636	4	4	4	4
1994.2299999999634	4	4	4	4
1994.4399999999632	4	3	3	3
2004.639999999963	4	4	4	4
2014.8199999999629	4	4	4	4
2024.9999999999627	4	4	4	4
2035.1799999999625	4	4	4	4
2045.3599999999624	4	4	4	4
2045.5799999999622	4	3	3	3
2055.769999999962	4	4	4	4
2065.9499999999657	4	4	4	4
2076.1299999999696	4	4	4	4
2086.3099999999736	4	4	4	4
2096.4899999999775	4	4	4	4
2096.699999999982	4	3	3	3
2106.8899999999862	4	4	4	4
2117.06999999999	4	4	4	4
2127.249999999994	4	4	4	4
2137.429999999998	4	4	4	4
2147.610000000002	4	4	4	4
2147.8200000000065	4	3	3	3
2158.020000000011	4	4	4	4
2168.200000000015	4	4	4	4
2178.3800000000188	4	4	4	4
2188.5600000000227	4	4	4	4
2198.7400000000266	4	4	4	4
2198.950000000031	4	3	3	3
2209.1500000000356	4	4	4	4
2219.3300000000395	4	4	4	4
2229.5100000000434	4	4	4	4
2239.6900000000473	4	4	4	4
