Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m04
1237.6199999999785	4	4	4	4
1247.7999999999784	4	4	4	4
1257.9799999999782	4	4	4	4
1268.159999999978	4	4	4	4
1278.3399999999779	4	4	4	4
1278.5499999999777	4	3	3	3
1288.7399999999775	4	4	4	4
1298.9199999999773	4	4	4	4
1309.0999999999772	4	4	4	4
1319.279999999977	4	4	4	4
1329.4599999999768	4	4	4	4
1329.6699999999767	4	3	3	3
1339.8599999999765	4	4	4	4
1350.0399999999763	4	4	4	4
1360.2199999999762	4	4	4	4
1370.399999999976	4	4	4	4
1380.5799999999758	4	4	4	4
1380.7899999999756	4	3	3	3
1390.9799999999755	4	4	4	4
1401.1599999999753	4	4	4	4
1411.3399999999751	4	4	4	4
1421.519999999975	4	4	4	4
1431.6999999999748	4	4	4	4
1431.9099999999746	4	3	3	3
1442.1099999999744	4	4	4	4
1452.2899999999743	4	4	4	4
1462.469999999974	4	4	4	4
1472.649999999974	4	4	4	4
1482.8299999999738	4	4	4	4
1483.0399999999736	4	3	3	3
1493.2399999999734	4	4	4	4
1503.4199999999732	4	4	4	4
1513.599999999973	4	4	4	4
1523.779999999973	4	4	4	4
1533.9599999999728	4	4	4	4
1534.1799999999726	4	3	3	3
1544.3799999999724	4	4	4	4
1554.5599999999722	4	4	4	4
1564.739999999972	4	4	4	4
1574.9199999999719	4	4	4	4
1585.0999999999717	4	4	4	4
1585.3099999999715	4	3	3	3
1595.5099999999713	4	4	4	4
1605.6899999999712	4	4	4	4
1615.869999999971	4	4	4	4
1626.0499999999709	4	4	4	4
1636.2299999999707	4	4	4	4
1636.4399999999705	4	3	3	3
1646.6399999999703	4	4	4	4
1656.8199999999702	4	4	4	4
1666.99999999997	4	4	4	4
1677.1799999999698	4	4	4	4
1687.3599999999697	4	4	4	4
1687.5699999999695	4	3	3	3
1697.7699999999693	4	4	4	4
1707.9499999999691	4	4	4	4
1718.129999999969	4	4	4	4
1728.3099999999688	4	4	4	4
1738.4899999999686	4	4	4	4
1738.6999999999684	4	3	3	3
1748.8899999999683	4	4	4	4
1759.069999999968	4	4	4	4
1769.249999999968	4	4	4	4
1779.4299999999678	4	4	4	4
1789.6099999999676	4	4	4	4
1789.8199999999674	4	3	3	3
1800.0199999999672	4	4	4	4
1810.199999999967	4	4	4	4
1820.379999999967	4	4	4	4
1830.5599999999667	4	4	4	4
1840.7399999999666	4	4	4	4
1840.9499999999664	4	3	3	3
1851.1399999999662	4	4	4	4
1861.319999999966	4	4	4	4
1871.499999999966	4	4	4	4
1881.6799999999657	4	4	4	4
1891.8599999999656	4	4	4	4
1892.0699999999654	4	3	3	3
1902.2599999999652	4	4	4	4
1912.439999999965	4	4	4	4
1922.6199999999649	4	4	4	4
1932.7999999999647	4	4	4	4
1942.9799999999645	4	4	4	4
1943.1899999999644	4	3	3	3
1953.3799999999642	4	4	4	4
1963.559999999964	4	4	4	4
1973.7399999999639	4	4	4	4
1983.9199999999637	4	4	4	4
1994.0999999999635	4	4	4	4
1994.3099999999633	4	3	3	3
2004.5099999999632	4	4	4	4
2014.689999999963	4	4	4	4
2024.8699999999628	4	4	4	4
2035.0499999999627	4	4	4	4
2045.2299999999625	4	4	4	4
2045.4499999999623	4	3	3	3
2055.6399999999617	4	4	4	4
2065.8199999999656	4	4	4	4
2075.9999999999695	4	4	4	4
2086.1799999999735	4	4	4	4
2096.3599999999774	4	4	4	4
2096.569999999982	4	3	3	3
2106.759999999986	4	4	4	4
2116.93999999999	4	4	4	4
2127.119999999994	4	4	4	4
2137.299999999998	4	4	4	4
2147.480000000002	4	4	4	4
2147.6900000000064	4	3	3	3
2157.8800000000106	4	4	4	4
2168.0600000000145	4	4	4	4
2178.2400000000184	4	4	4	4
2188.4200000000224	4	4	4	4
2198.6000000000263	4	4	4	4
2198.810000000031	4	3	3	3
2209.0100000000352	4	4	4	4
2219.190000000039	4	4	4	4
2229.370000000043	4	4	4	4
2239.550000000047	4	4	4	4
2249.730000000051	4	4	4	4
2249.9400000000555	4	3	3	3
2260.14000000006	4	4	4	4
2270.320000000064	4	4	4	4
2280.5000000000678	4	4	4	4
2290.6800000000717	4	4	4	4
2300.8600000000756	4	4	4	4
2301.07000000008	4	3	3	3
2311.2600000000843	4	4	4	4
2321.4400000000883	4	4	4	4
2331.620000000092	4	4	4	4
2341.800000000096	4	4	4	4
2351.9800000001	4	4	4	4
2352.1900000001046	4	3	3	3
2362.390000000109	4	4	4	4
2372.570000000113	4	4	4	4
2382.750000000117	4	4	4	4
2392.930000000121	4	4	4	4
2403.1100000001247	4	4	4	4
2403.3200000001293	4	3	3	3
2413.5200000001337	4	4	4	4
2423.7000000001376	4	4	4	4
2433.8800000001415	4	4	4	4
2444.0600000001455	4	4	4	4
2454.2400000001494	4	4	4	4
2454.450000000154	4	3	3	3
2464.6500000001583	4	4	4	4
2474.8300000001623	4	4	4	4
2485.010000000166	4	4	4	4
